Timestamp,Q1  How would you describe your academic performance overall this semester?,Q2  Roughly what percentage of your scheduled classes have you attended this semester?,"Q3  Out of the last 5 assignments or coursework submissions due, how many did you submit on time?","Q4  Have you ever repeated, or are you currently repeating, any course at KNUST?","Q5  In the past three months, have you seriously considered withdrawing from KNUST or taking a break of one semester or more from your studies?","Q6  Over the last 2 weeks, how often have you been bothered by... little interest or pleasure in doing things?","Q7  Over the last 2 weeks, how often have you been bothered by... feeling down, depressed, or hopeless?","Q8  Over the last 2 weeks, how often have you been bothered by... feeling nervous, anxious, or on edge?","Q9  Over the last 2 weeks, how often have you been bothered by... not being able to stop or control worrying?","Q10   In the current semester, to what extent has financial difficulty affected your ability to fully participate in your studies? (For example: inability to buy required textbooks, pay exam fees, or cover transport to campus.)","Q11   How would you describe your ability to access the internet reliably for academic work? (For example: downloading lecture notes, submitting assignments online, attending virtual classes.)","Q12   Do you have significant responsibilities outside of your studies — such as paid work, caring for family members, or supporting your household financially — that regularly compete with your study time?",Which faculty or college are you currently enrolled in at KNUST?,"  If you selected Other Faculty, please specify your faculty or school.  ",Q14   What year of study are you currently in?,What is your gender?,"Q16   Thinking about your overall experience at KNUST, how strongly do you feel that you belong here as a student?"
2026/06/13 9:52:30 PM GMT,Excellent,60–80%,All 5,No,No,Not at all,Not at all,Several days,Not at all,Slightly — it has rarely affected my participation,Mostly reliable — occasional difficulties,No — these do not significantly affect my study time,College of Engineering,,Year 4,Male,Neutral
2026/06/17 12:32:05 PM GMT,Average,60–80%,3 or 4,No,I have thought about it briefly but not seriously,Not at all,Several days,More than half the days,Several days,Moderately — it has sometimes limited my participation,Reliable access — rarely a problem,Sometimes — these occasionally affect my study time,College of Science,,Year 4,Female,Neutral
2026/06/12 8:47:26 PM GMT,Average,More than 80%,All 5,No,No,Not at all,Not at all,Not at all,Not at all,Moderately — it has sometimes limited my participation,Very limited — a serious barrier to my studies,No — these do not significantly affect my study time,Other Faculty,,Year 4,Female,Agree — I mostly feel I belong here
2026/06/17 1:23:44 PM GMT,Excellent,More than 80%,All 5,Yes,"Yes, I have seriously considered this",More than half the days,More than half the days,Nearly every day,More than half the days,Not at all,Frequently unreliable — regular difficulties,Sometimes — these occasionally affect my study time,College of Arts and Social Sciences,,Year 1,Male,Disagree — I often feel I do not belong here
2026/05/29 12:37:34 AM GMT,Good,60–80%,3 or 4,No,"Yes, I have seriously considered this",Not at all,Nearly every day,Several days,More than half the days,Slightly — it has rarely affected my participation,Very limited — a serious barrier to my studies,Yes — these regularly take significant time from my studies,College of Science,,Year 1,Male,Strongly agree — I feel I belong here
2026/06/10 1:14:51 PM GMT,Excellent,More than 80%,All 5,No,No,Nearly every day,Not at all,Not at all,Several days,Slightly — it has rarely affected my participation,Reliable access — rarely a problem,Sometimes — these occasionally affect my study time,College of Science,Humanities and social science ,Year 1,Female,Neutral
2026/06/15 8:01:44 PM GMT,Excellent,More than 80%,All 5,No,No,More than half the days,Not at all,Not at all,Nearly every day,Slightly — it has rarely affected my participation,Mostly reliable — occasional difficulties,No — these do not significantly affect my study time,College of Engineering,,Year 1,Female,Agree — I mostly feel I belong here
2026/05/29 7:49:14 AM GMT,Good,More than 80%,All 5,No,No,More than half the days,More than half the days,More than half the days,Not at all,Not at all,Reliable access — rarely a problem,No — these do not significantly affect my study time,College of Arts and Social Sciences,,Year 4,Male,Strongly agree — I feel I belong here
2026/06/01 1:06:30 PM GMT,Good,More than 80%,All 5,No,No,Not at all,Not at all,Not at all,Several days,Not at all,Mostly reliable — occasional difficulties,No — these do not significantly affect my study time,School of Business,,Year 2,Male,Agree — I mostly feel I belong here
2026/06/16 9:34:44 PM GMT,Good,More than 80%,All 5,No,No,Not at all,Not at all,Not at all,Not at all,Not at all,Reliable access — rarely a problem,Sometimes — these occasionally affect my study time,College of Science,,Year 1,Male,Strongly agree — I feel I belong here
2026/06/10 12:31:40 PM GMT,Good,More than 80%,All 5,No,No,Not at all,Several days,More than half the days,Not at all,Not at all,Mostly reliable — occasional difficulties,Yes — these regularly take significant time from my studies,College of Science,,Year 4,Female,Strongly agree — I feel I belong here
2026/06/10 12:31:31 PM GMT,Good,More than 80%,All 5,No,No,More than half the days,Nearly every day,Several days,Not at all,Moderately — it has sometimes limited my participation,Mostly reliable — occasional difficulties,No — these do not significantly affect my study time,College of Arts and Social Sciences,,Year 2,Male,Neutral
2026/06/13 9:49:58 PM GMT,Excellent,More than 80%,,Yes,"Yes, I have seriously considered this",Not at all,Several days,Not at all,Several days,Moderately — it has sometimes limited my participation,Very limited — a serious barrier to my studies,Sometimes — these occasionally affect my study time,College of Science,,Year 4,Male,Strongly agree — I feel I belong here
2026/06/15 8:01:44 PM GMT,Good,More than 80%,All 5,No,No,Several days,Not at all,Several days,Not at all,Slightly — it has rarely affected my participation,Frequently unreliable — regular difficulties,Sometimes — these occasionally affect my study time,School of Business,,Year 4,Prefer not to say,Agree — I mostly feel I belong here
2026/05/30 11:41:51 AM GMT,Average,More than 80%,All 5,No,I have thought about it briefly but not seriously,Several days,Not at all,Several days,Not at all,Slightly — it has rarely affected my participation,Mostly reliable — occasional difficulties,No — these do not significantly affect my study time,College of Health Sciences,,Year 4,Male,Strongly agree — I feel I belong here
2026/06/16 8:48:23 PM GMT,Below Average,More than 80%,All 5,Yes,"Yes, I have seriously considered this",Nearly every day,Several days,Several days,Several days,Moderately — it has sometimes limited my participation,Very limited — a serious barrier to my studies,Sometimes — these occasionally affect my study time,College of Engineering,,Year 2,Female,Disagree — I often feel I do not belong here
2026/05/29 7:21:38 PM GMT,Excellent,60–80%,All 5,Yes,No,Nearly every day,Not at all,Not at all,Nearly every day,Not at all,Frequently unreliable — regular difficulties,No — these do not significantly affect my study time,School of Business,College of humanities and social sciences ,Year 4,Female,Agree — I mostly feel I belong here
2026/06/02 1:03:44 PM GMT,Average,More than 80%,All 5,No,No,Several days,Not at all,Several days,Nearly every day,Not at all,Reliable access — rarely a problem,No — these do not significantly affect my study time,College of Science,Agriculture ,Year 1,Female,Strongly agree — I feel I belong here
2026/05/30 11:40:04 AM GMT,Good,More than 80%,All 5,No,No,Several days,Several days,Not at all,Several days,Not at all,Frequently unreliable — regular difficulties,No — these do not significantly affect my study time,College of Engineering,,Year 4,Female,Disagree — I often feel I do not belong here
2026/06/12 7:14:48 PM GMT,Good,More than 80%,All 5,No,No,More than half the days,Not at all,Not at all,Not at all,Not at all,Reliable access — rarely a problem,Sometimes — these occasionally affect my study time,College of Arts and Social Sciences,,Year 5 or above (undergraduate),Male,Strongly agree — I feel I belong here
2026/06/01 3:19:31 PM GMT,Good,More than 80%,All 5,No,No,Several days,Not at all,Nearly every day,Not at all,Slightly — it has rarely affected my participation,Mostly reliable — occasional difficulties,Sometimes — these occasionally affect my study time,College of Science,,Year 1,Female,Strongly agree — I feel I belong here
2026/06/12 8:48:30 PM GMT,Good,More than 80%,All 5,No,No,Not at all,Several days,Not at all,Not at all,Not at all,Reliable access — rarely a problem,Yes — these regularly take significant time from my studies,College of Engineering,,Year 4,Female,Neutral
2026/05/28 1:05:02 PM GMT,Good,More than 80%,All 5,No,I have thought about it briefly but not seriously,Not at all,Not at all,More than half the days,Not at all,Moderately — it has sometimes limited my participation,Mostly reliable — occasional difficulties,No — these do not significantly affect my study time,College of Engineering,Faculty of Pharmacy and Pharmaceutical sciences ,Year 4,Male,Strongly agree — I feel I belong here
2026/06/01 3:14:25 PM GMT,Average,More than 80%,All 5,No,No,Not at all,Several days,Not at all,Several days,Moderately — it has sometimes limited my participation,Reliable access — rarely a problem,No — these do not significantly affect my study time,College of Science,,Year 1,Male,Strongly agree — I feel I belong here
2026/06/01 4:05:00 PM GMT,Good,40–60%,All 5,No,No,Nearly every day,Several days,Several days,Several days,Moderately — it has sometimes limited my participation,Reliable access — rarely a problem,No — these do not significantly affect my study time,Other Faculty,Agriculture ,Year 2,Male,Strongly agree — I feel I belong here
2026/06/13 10:17:25 PM GMT,Good,More than 80%,All 5,No,I have thought about it briefly but not seriously,Not at all,Not at all,Not at all,More than half the days,Slightly — it has rarely affected my participation,Very limited — a serious barrier to my studies,No — these do not significantly affect my study time,College of Science,,Year 3,Male,Agree — I mostly feel I belong here
2026/06/13 10:22:00 PM GMT,Good,More than 80%,All 5,No,No,Not at all,Nearly every day,Not at all,Several days,Slightly — it has rarely affected my participation,Reliable access — rarely a problem,Yes — these regularly take significant time from my studies,College of Science,,Year 2,Male,Agree — I mostly feel I belong here
2026/06/17 12:32:05 PM GMT,Below Average,More than 80%,3 or 4,No,I have thought about it briefly but not seriously,More than half the days,More than half the days,Not at all,Not at all,Moderately — it has sometimes limited my participation,Mostly reliable — occasional difficulties,No — these do not significantly affect my study time,College of Arts and Social Sciences,College of Arts and Built Environment ,Year 4,Female,Agree — I mostly feel I belong here
2026/05/30 11:42:06 AM GMT,Average,More than 80%,All 5,No,I have thought about it briefly but not seriously,Several days,Several days,Several days,More than half the days,Severely — it has significantly limited my participation,Mostly reliable — occasional difficulties,Sometimes — these occasionally affect my study time,College of Science,Faculty of Computation and Physical Sciences,Year 3,Male,Agree — I mostly feel I belong here
2026/06/15 7:54:47 PM GMT,Good,More than 80%,3 or 4,No,No,Not at all,Not at all,Several days,Not at all,Not at all,Reliable access — rarely a problem,Sometimes — these occasionally affect my study time,College of Science,,Year 2,Male,Agree — I mostly feel I belong here
2026/06/13 9:44:03 PM GMT,Good,40–60%,All 5,No,"Yes, I have seriously considered this",Nearly every day,Nearly every day,Several days,Not at all,Slightly — it has rarely affected my participation,Mostly reliable — occasional difficulties,Yes — these regularly take significant time from my studies,College of Science,,Year 2,Male,Agree — I mostly feel I belong here
2026/06/10 1:10:07 PM GMT,Good,More than 80%,3 or 4,No,No,Several days,Not at all,Not at all,Several days,Not at all,Mostly reliable — occasional difficulties,No — these do not significantly affect my study time,Other Faculty,,Year 1,Female,Neutral
2026/06/16 9:34:44 PM GMT,Below Average,More than 80%,All 5,No,No,Not at all,Several days,Not at all,Not at all,Slightly — it has rarely affected my participation,Frequently unreliable — regular difficulties,Sometimes — these occasionally affect my study time,College of Engineering,Biochemistry and biotechnology ,Year 2,Female,Strongly agree — I feel I belong here
2026/06/17 4:51:15 AM GMT,Good,60–80%,All 5,No,No,Several days,Nearly every day,Not at all,Not at all,Moderately — it has sometimes limited my participation,Reliable access — rarely a problem,No — these do not significantly affect my study time,College of Science,,Year 1,Male,Strongly agree — I feel I belong here
2026/06/14 10:40:47 AM GMT,Excellent,More than 80%,All 5,No,I have thought about it briefly but not seriously,Several days,Several days,Several days,Several days,Moderately — it has sometimes limited my participation,Mostly reliable — occasional difficulties,No — these do not significantly affect my study time,College of Health Sciences,Faculty of Computation and Physical Sciences,Year 2,Female,Strongly agree — I feel I belong here
2026/06/15 8:20:26 PM GMT,Average,60–80%,All 5,No,No,More than half the days,Not at all,Not at all,Not at all,Not at all,Mostly reliable — occasional difficulties,No — these do not significantly affect my study time,College of Health Sciences,,Year 4,Female,Agree — I mostly feel I belong here
2026/05/11 10:35:56 PM GMT,Average,More than 80%,3 or 4,No,No,Not at all,Several days,Several days,Several days,Slightly — it has rarely affected my participation,Mostly reliable — occasional difficulties,No — these do not significantly affect my study time,College of Health Sciences,,Year 4,Female,Strongly agree — I feel I belong here
2026/06/15 9:31:37 PM GMT,Good,More than 80%,All 5,No,No,Several days,Several days,Several days,Not at all,Not at all,Reliable access — rarely a problem,No — these do not significantly affect my study time,College of Arts and Social Sciences,,Year 3,Male,Strongly agree — I feel I belong here
2026/06/13 9:54:03 PM GMT,Average,More than 80%,All 5,No,No,Not at all,Not at all,Not at all,Not at all,Moderately — it has sometimes limited my participation,Very limited — a serious barrier to my studies,No — these do not significantly affect my study time,College of Health Sciences,,Year 4,Female,Strongly agree — I feel I belong here
2026/06/13 9:38:48 PM GMT,Good,More than 80%,All 5,No,No,Several days,Not at all,Several days,Not at all,Not at all,Frequently unreliable — regular difficulties,Sometimes — these occasionally affect my study time,College of Science,,Year 1,Male,Neutral
2026/05/30 11:40:07 AM GMT,Good,More than 80%,All 5,No,No,Not at all,Not at all,More than half the days,Not at all,Moderately — it has sometimes limited my participation,Frequently unreliable — regular difficulties,Yes — these regularly take significant time from my studies,College of Arts and Social Sciences,,Year 4,Female,Strongly agree — I feel I belong here
2026/06/10 12:31:31 PM GMT,Good,More than 80%,All 5,No,No,Not at all,Not at all,Several days,Not at all,Moderately — it has sometimes limited my participation,Reliable access — rarely a problem,No — these do not significantly affect my study time,College of Science,,Year 4,Female,Agree — I mostly feel I belong here
2026/06/01 3:18:45 PM GMT,Good,60–80%,All 5,No,"Yes, I have seriously considered this",Several days,Several days,Nearly every day,Several days,Moderately — it has sometimes limited my participation,Very limited — a serious barrier to my studies,Yes — these regularly take significant time from my studies,College of Engineering,,Year 4,Male,Neutral
2026/06/01 9:56:20 PM GMT,Average,More than 80%,All 5,No,No,Nearly every day,Several days,Several days,Several days,Not at all,Mostly reliable — occasional difficulties,Sometimes — these occasionally affect my study time,College of Health Sciences,,Year 4,Female,Strongly agree — I feel I belong here
2026/06/10 1:11:38 PM GMT,Excellent,More than 80%,All 5,No,No,Several days,Not at all,Nearly every day,Not at all,Not at all,Reliable access — rarely a problem,Yes — these regularly take significant time from my studies,Other Faculty,,Year 2,Male,Neutral
2026/06/15 8:01:25 PM GMT,Average,More than 80%,1 or 2,No,"Yes, I have seriously considered this",Not at all,Not at all,Several days,Several days,Not at all,Mostly reliable — occasional difficulties,Sometimes — these occasionally affect my study time,College of Science,,Year 4,Male,Disagree — I often feel I do not belong here
2026/06/13 9:56:11 PM GMT,Excellent,More than 80%,3 or 4,No,No,Several days,Not at all,Several days,Several days,Moderately — it has sometimes limited my participation,Mostly reliable — occasional difficulties,Yes — these regularly take significant time from my studies,College of Science,,Year 4,Male,Strongly agree — I feel I belong here
2026/06/17 12:32:05 PM GMT,Excellent,60–80%,3 or 4,No,I have thought about it briefly but not seriously,Several days,Several days,Several days,Several days,Moderately — it has sometimes limited my participation,Reliable access — rarely a problem,No — these do not significantly affect my study time,College of Science,,Year 3,Female,Neutral
2026/05/31 3:42:58 PM GMT,Average,More than 80%,3 or 4,No,"Yes, I have seriously considered this",Not at all,Several days,Several days,Several days,Severely — it has significantly limited my participation,Frequently unreliable — regular difficulties,Sometimes — these occasionally affect my study time,College of Science,,Year 4,Male,Neutral
