analysis,design,fold,seed,K,requested_minority_prevalence,realized_minority_prevalence,context_n,context_minority_n,context_majority_n,n,positive,negative,tn,fp,fn,tp,threshold,accuracy,precision,recall,specificity,balanced_accuracy,npv,referral_n,referral_rate,reviews_per_detected_positive,f1,f2,auc_roc,average_precision,brier,ece_10,prevalence_condition
operational_prevalence_sweep,all_minority_0.4,1,1,1,0.4,0.4,285,114,171,34,13,21,18,3,4,9,0.5,0.7941176470588235,0.75,0.6923076923076923,0.8571428571428571,0.7747252747252746,0.8181818181818182,12,0.35294117647058826,1.3333333333333333,0.72,0.703125,0.8388278388278388,0.7892034865719075,0.15940052511916575,0.09708406162612579,0.4
operational_prevalence_sweep,all_minority_0.4,1,7,1,0.4,0.4,285,114,171,34,13,21,18,3,4,9,0.5,0.7941176470588235,0.75,0.6923076923076923,0.8571428571428571,0.7747252747252746,0.8181818181818182,12,0.35294117647058826,1.3333333333333333,0.72,0.703125,0.8351648351648352,0.7897693523688218,0.16151395120841,0.09089230526896085,0.4
operational_prevalence_sweep,all_minority_0.4,1,21,1,0.4,0.4,285,114,171,34,13,21,18,3,4,9,0.5,0.7941176470588235,0.75,0.6923076923076923,0.8571428571428571,0.7747252747252746,0.8181818181818182,12,0.35294117647058826,1.3333333333333333,0.72,0.703125,0.8351648351648352,0.7858765417588947,0.160401447228763,0.10448333533371199,0.4
operational_prevalence_sweep,all_minority_0.4,1,42,1,0.4,0.4,285,114,171,34,13,21,18,3,3,10,0.5,0.8235294117647058,0.7692307692307693,0.7692307692307693,0.8571428571428571,0.8131868131868132,0.8571428571428571,13,0.38235294117647056,1.3,0.7692307692307693,0.7692307692307693,0.8461538461538463,0.8063707248525471,0.15443401914020033,0.10505000918227084,0.4
operational_prevalence_sweep,all_minority_0.4,1,99,1,0.4,0.4,285,114,171,34,13,21,18,3,4,9,0.5,0.7941176470588235,0.75,0.6923076923076923,0.8571428571428571,0.7747252747252746,0.8181818181818182,12,0.35294117647058826,1.3333333333333333,0.72,0.703125,0.8278388278388279,0.7566724125547655,0.16172944571672548,0.09922117520781126,0.4
operational_prevalence_sweep,all_minority_0.4,2,1,1,0.4,0.4,285,114,171,34,13,21,17,4,7,6,0.5,0.6764705882352942,0.6,0.46153846153846156,0.8095238095238095,0.6355311355311355,0.7083333333333334,10,0.29411764705882354,1.6666666666666667,0.5217391304347826,0.4838709677419355,0.6923076923076923,0.6640627982439398,0.20605933750436603,0.15622769230428865,0.4
operational_prevalence_sweep,all_minority_0.4,2,7,1,0.4,0.4,285,114,171,34,13,21,18,3,7,6,0.5,0.7058823529411765,0.6666666666666666,0.46153846153846156,0.8571428571428571,0.6593406593406593,0.72,9,0.2647058823529412,1.5,0.5454545454545454,0.4918032786885246,0.6923076923076923,0.6234645076456491,0.20821718319181765,0.1418007158619516,0.4
operational_prevalence_sweep,all_minority_0.4,2,21,1,0.4,0.4,285,114,171,34,13,21,16,5,7,6,0.5,0.6470588235294118,0.5454545454545454,0.46153846153846156,0.7619047619047619,0.6117216117216118,0.6956521739130435,11,0.3235294117647059,1.8333333333333333,0.5,0.47619047619047616,0.6776556776556777,0.6377895700476346,0.21171644634212453,0.14180933202014248,0.4
operational_prevalence_sweep,all_minority_0.4,2,42,1,0.4,0.4,285,114,171,34,13,21,16,5,7,6,0.5,0.6470588235294118,0.5454545454545454,0.46153846153846156,0.7619047619047619,0.6117216117216118,0.6956521739130435,11,0.3235294117647059,1.8333333333333333,0.5,0.47619047619047616,0.6886446886446886,0.6268780793790589,0.2077710840008344,0.1745945419020513,0.4
operational_prevalence_sweep,all_minority_0.4,2,99,1,0.4,0.4,285,114,171,34,13,21,16,5,7,6,0.5,0.6470588235294118,0.5454545454545454,0.46153846153846156,0.7619047619047619,0.6117216117216118,0.6956521739130435,11,0.3235294117647059,1.8333333333333333,0.5,0.47619047619047616,0.6996336996336996,0.6750209603294226,0.20854582714551814,0.18046078436514912,0.4
