model,metric,mean,sd,n_folds
B-TabPFN nested K,recall,0.6794871795,0.1633742295,10
B-TabPFN nested K,precision,0.5861394161,0.1149301483,10
B-TabPFN nested K,f1,0.6267243417,0.1304625243,10
B-TabPFN nested K,f2,0.6566399915,0.1479397651,10
B-TabPFN nested K,average_precision,0.6706570409,0.1210211503,10
B-TabPFN nested K,auc_roc,0.7455494505,0.1034404904,10
B-TabPFN nested K,brier,0.2005807592,0.0355763716,10
B-TabPFN nested K,ece_10,0.1833858951,0.0349005261,10
Gaussian Naive Bayes,recall,0.9679487179,0.0414331612,10
Gaussian Naive Bayes,precision,0.3973799923,0.0310577163,10
Gaussian Naive Bayes,f1,0.5630491529,0.0361193299,10
Gaussian Naive Bayes,f2,0.7514048952,0.0384382166,10
Gaussian Naive Bayes,average_precision,0.6977681858,0.147072531,10
Gaussian Naive Bayes,auc_roc,0.7492735043,0.1132423595,10
Gaussian Naive Bayes,brier,0.5351957585,0.0686982424,10
Gaussian Naive Bayes,ece_10,0.5476417262,0.0637354659,10
KNN,recall,0.4743589744,0.1281695107,10
KNN,precision,0.6461327561,0.1120530868,10
KNN,f1,0.5377433703,0.1087453436,10
KNN,f2,0.4964514314,0.1204596831,10
KNN,average_precision,0.5844835411,0.1067155657,10
KNN,auc_roc,0.7061141636,0.0807701102,10
KNN,brier,0.2198646324,0.0391570901,10
KNN,ece_10,0.1433766555,0.0443928058,10
Logistic Regression,recall,0.6397435897,0.1471041728,10
Logistic Regression,precision,0.6180995883,0.1143677715,10
Logistic Regression,f1,0.6198562286,0.1117310029,10
Logistic Regression,f2,0.6295006773,0.1290538913,10
Logistic Regression,average_precision,0.6499120995,0.1389567255,10
Logistic Regression,auc_roc,0.7282600733,0.1040603994,10
Logistic Regression,brier,0.2070229355,0.0350619468,10
Logistic Regression,ece_10,0.1952703163,0.0329551424,10
Random Forest,recall,0.6403846154,0.1368339098,10
Random Forest,precision,0.6130629991,0.1165509704,10
Random Forest,f1,0.6216046969,0.1165429624,10
Random Forest,f2,0.6316210009,0.1264956068,10
Random Forest,average_precision,0.6609422829,0.1079941342,10
Random Forest,auc_roc,0.7320879121,0.1027286692,10
Random Forest,brier,0.20143911,0.030972297,10
Random Forest,ece_10,0.167297145,0.0376014042,10
Standard TabPFN v2,recall,0.491025641,0.1473026773,10
Standard TabPFN v2,precision,0.6353280053,0.1114416837,10
Standard TabPFN v2,f1,0.5479344713,0.1269113081,10
Standard TabPFN v2,f2,0.5112810345,0.1393691548,10
Standard TabPFN v2,average_precision,0.6706199886,0.1241540239,10
Standard TabPFN v2,auc_roc,0.7460500611,0.1071774893,10
Standard TabPFN v2,brier,0.1915493071,0.0386554823,10
Standard TabPFN v2,ece_10,0.1753692004,0.0465092938,10
XGBoost,recall,0.6237179487,0.1311990172,10
XGBoost,precision,0.5975656288,0.104313565,10
XGBoost,f1,0.6072288286,0.1133514417,10
XGBoost,f2,0.6163397183,0.1233299962,10
XGBoost,average_precision,0.6519583841,0.1016796395,10
XGBoost,auc_roc,0.7134371184,0.0992682647,10
XGBoost,brier,0.2153687136,0.0466154346,10
XGBoost,ece_10,0.1990998778,0.0729295752,10
