order,feature_i,feature_j,restricted_mean_signed_fsii,restricted_sd_signed_fsii,restricted_mean_abs_fsii,explained_students
1,Q10_Financial_Difficulty,,0.008447584920011787,0.047746633008610005,0.042862354205951095,32
1,Q11_Internet_Access,,0.004214654299071965,0.010833744938545907,0.010444479746664048,32
1,Q12_Outside_Responsibilities,,0.001056827671193456,0.05248785511573409,0.049585048011106324,32
1,Q13_Faculty,,0.005034624142570437,0.015192368497571083,0.011379335620608262,32
1,Q14_Year,,0.005105595174526816,0.03849339634979607,0.033563454322390655,32
1,Q16_Belonging,,0.045404398235093825,0.08407862525927248,0.07916079577079711,32
1,Q1_Academic_Performance,,0.010252295750851476,0.032617041489388175,0.029117477007010298,32
1,Q2_Attendance,,0.046142601214249096,0.08690395619395806,0.08515016232650593,32
1,Q3_Assignments,,-0.0007586206149783194,0.09125711435301488,0.0719472878925687,32
1,Q4_Repeating,,0.03207825370524847,0.13603207080654367,0.09252486611379077,32
2,Q10_Financial_Difficulty,Q11_Internet_Access,5.642743770183195e-05,0.005327572581754455,0.004354450798241304,32
2,Q10_Financial_Difficulty,Q12_Outside_Responsibilities,0.0002235071366671539,0.01593844768963182,0.012711979867321236,32
2,Q10_Financial_Difficulty,Q13_Faculty,-0.001284367834527113,0.00654259136438056,0.005611518461664275,32
2,Q10_Financial_Difficulty,Q14_Year,-0.00039964009554449966,0.006118328807698422,0.005259295439239685,32
2,Q10_Financial_Difficulty,Q16_Belonging,-0.002514829482374153,0.004112462454968855,0.0035588600831086945,32
2,Q11_Internet_Access,Q12_Outside_Responsibilities,0.0013180825944657457,0.004599103633343955,0.003644285430483674,32
2,Q11_Internet_Access,Q13_Faculty,-0.00030961646886283183,0.006487215319799938,0.005399808986399675,32
2,Q11_Internet_Access,Q14_Year,-0.00108667079645964,0.004961688588462908,0.003972629186494238,32
2,Q11_Internet_Access,Q16_Belonging,-0.0011894397454086257,0.005587301442339835,0.004426034700253112,32
2,Q12_Outside_Responsibilities,Q13_Faculty,-0.0023220800877412112,0.008289163349627551,0.007385083480860017,32
2,Q12_Outside_Responsibilities,Q14_Year,0.0006230539453297966,0.007064725483758964,0.005802366229935219,32
2,Q12_Outside_Responsibilities,Q16_Belonging,-0.00034188429509048057,0.004794011508676332,0.004133370154309749,32
2,Q14_Year,Q13_Faculty,-0.0005119343336225898,0.006532693852565229,0.005282193853361871,32
2,Q14_Year,Q16_Belonging,-0.0014708868581106073,0.012412931969663834,0.010413319902885241,32
2,Q16_Belonging,Q13_Faculty,-0.003461002335831496,0.007029203139789412,0.006347584803144173,32
2,Q1_Academic_Performance,Q10_Financial_Difficulty,-0.000223970177271923,0.0034025567847083683,0.0025646716639533057,32
