model,order,feature_i,feature_j,mean_signed_fsii,sd_signed_fsii,mean_abs_fsii,sd_abs_fsii,positive_direction_fraction,explained_students,signed_ci_low,signed_ci_high,direction,budget,explanation_scale,uncertainty_role,feature_i_construct,feature_j_construct
B-TabPFN K=1,1,Q10_Financial_Difficulty,,0.0060438594,0.0451872499,0.0388800332,0.0227853903,0.625,32,-0.0102478815,0.0223356003,uncertain_ci_crosses_zero,1024,positive_class_probability,descriptive unadjusted interval; not a significance test,Structural and contextual barriers,
B-TabPFN K=1,1,Q11_Internet_Access,,0.0041365124,0.0101087574,0.0098602529,0.0044146129,0.65625,32,0.0004919167,0.0077811081,positive,1024,positive_class_probability,descriptive unadjusted interval; not a significance test,Structural and contextual barriers,
B-TabPFN K=1,1,Q12_Outside_Responsibilities,,0.0010108609,0.0471197845,0.0433071841,0.0168913086,0.46875,32,-0.015977633,0.0179993548,uncertain_ci_crosses_zero,1024,positive_class_probability,descriptive unadjusted interval; not a significance test,Structural and contextual barriers,
B-TabPFN K=1,1,Q13_Faculty,,0.0033014625,0.0186647325,0.0147895258,0.0115688207,0.625,32,-0.0034278911,0.0100308162,uncertain_ci_crosses_zero,1024,positive_class_probability,descriptive unadjusted interval; not a significance test,Institutional and programme context,
B-TabPFN K=1,1,Q14_Year,,0.0051361863,0.0339314505,0.0293043003,0.0170918504,0.65625,32,-0.0070974062,0.0173697787,uncertain_ci_crosses_zero,1024,positive_class_probability,descriptive unadjusted interval; not a significance test,Institutional and programme context,
B-TabPFN K=1,1,Q16_Belonging,,0.038487906,0.0723029574,0.0692594208,0.0424878336,0.8125,32,0.01241991,0.064555902,positive,1024,positive_class_probability,descriptive unadjusted interval; not a significance test,Social and institutional integration,
B-TabPFN K=1,1,Q1_Academic_Performance,,0.0074008534,0.0252824687,0.0220258821,0.0139625775,0.4375,32,-0.0017144486,0.0165161554,uncertain_ci_crosses_zero,1024,positive_class_probability,descriptive unadjusted interval; not a significance test,Academic engagement and integration,
B-TabPFN K=1,1,Q2_Attendance,,0.042531932,0.0810948137,0.0789922756,0.0447506978,0.59375,32,0.0132941338,0.0717697302,positive,1024,positive_class_probability,descriptive unadjusted interval; not a significance test,Academic engagement and integration,
B-TabPFN K=1,1,Q3_Assignments,,-0.0020728666,0.0838428003,0.0665113067,0.049674892,0.21875,32,-0.0323014196,0.0281556864,uncertain_ci_crosses_zero,1024,positive_class_probability,descriptive unadjusted interval; not a significance test,Academic engagement and integration,
B-TabPFN K=1,1,Q4_Repeating,,0.0351672626,0.135003573,0.0888484424,0.106554697,0.21875,32,-0.0135067159,0.0838412412,uncertain_ci_crosses_zero,1024,positive_class_probability,descriptive unadjusted interval; not a significance test,Academic progression,
B-TabPFN K=1,1,Q6_PHQ2_Interest,,0.0331224784,0.1504975727,0.1166821328,0.0986311492,0.375,32,-0.0211376827,0.0873826396,uncertain_ci_crosses_zero,1024,positive_class_probability,descriptive unadjusted interval; not a significance test,Psychological distress,
B-TabPFN K=1,1,Q7_PHQ2_Depressed,,0.0423702428,0.1802162042,0.1589852281,0.0907709273,0.65625,32,-0.0226046276,0.1073451132,uncertain_ci_crosses_zero,1024,positive_class_probability,descriptive unadjusted interval; not a significance test,Psychological distress,
B-TabPFN K=1,1,Q8_GAD2_Nervous,,0.0472515701,0.1231804519,0.1199341241,0.0512831079,0.6875,32,0.0028402812,0.0916628589,positive,1024,positive_class_probability,descriptive unadjusted interval; not a significance test,Psychological distress,
B-TabPFN K=1,1,Q9_GAD2_Worry,,0.0486257941,0.1310290444,0.114007982,0.0786908319,0.75,32,0.001384786,0.0958668023,positive,1024,positive_class_probability,descriptive unadjusted interval; not a significance test,Psychological distress,
B-TabPFN K=1,2,Q10_Financial_Difficulty,Q11_Internet_Access,8.76174e-05,0.0044981534,0.0034972192,0.0027597522,0.46875,32,-0.0015341398,0.0017093746,uncertain_ci_crosses_zero,1024,positive_class_probability,descriptive unadjusted interval; not a significance test,Structural and contextual barriers,Structural and contextual barriers
B-TabPFN K=1,2,Q10_Financial_Difficulty,Q12_Outside_Responsibilities,-7.07263e-05,0.0133239012,0.0102239582,0.0083444756,0.59375,32,-0.004874505,0.0047330523,uncertain_ci_crosses_zero,1024,positive_class_probability,descriptive unadjusted interval; not a significance test,Structural and contextual barriers,Structural and contextual barriers
B-TabPFN K=1,2,Q10_Financial_Difficulty,Q13_Faculty,-0.00020542,0.0075972129,0.0060957142,0.004405092,0.46875,32,-0.0029445074,0.0025336674,uncertain_ci_crosses_zero,1024,positive_class_probability,descriptive unadjusted interval; not a significance test,Structural and contextual barriers,Institutional and programme context
B-TabPFN K=1,2,Q10_Financial_Difficulty,Q14_Year,-0.0013247601,0.0066856966,0.0051643501,0.0043565226,0.5,32,-0.0037352108,0.0010856905,uncertain_ci_crosses_zero,1024,positive_class_probability,descriptive unadjusted interval; not a significance test,Structural and contextual barriers,Institutional and programme context
B-TabPFN K=1,2,Q10_Financial_Difficulty,Q16_Belonging,-0.0017112956,0.0041126223,0.0034358746,0.0027839927,0.25,32,-0.0031940541,-0.0002285371,negative,1024,positive_class_probability,descriptive unadjusted interval; not a significance test,Structural and contextual barriers,Social and institutional integration
B-TabPFN K=1,2,Q11_Internet_Access,Q12_Outside_Responsibilities,0.0013939838,0.0059162708,0.0049585367,0.003409973,0.5,32,-0.0007390593,0.0035270269,uncertain_ci_crosses_zero,1024,positive_class_probability,descriptive unadjusted interval; not a significance test,Structural and contextual barriers,Structural and contextual barriers
