model,repeat,batch_n,milliseconds_per_assessment,measurement
Standard TabPFN v2,1,1,318.7502780001523,warm_prediction_no_fit
Standard TabPFN v2,2,1,315.00288800043563,warm_prediction_no_fit
Standard TabPFN v2,3,1,304.7169500000564,warm_prediction_no_fit
Standard TabPFN v2,4,1,310.16486599992277,warm_prediction_no_fit
Standard TabPFN v2,5,1,319.6290810001301,warm_prediction_no_fit
Standard TabPFN v2,6,1,323.86491899978864,warm_prediction_no_fit
Standard TabPFN v2,7,1,328.9037629997438,warm_prediction_no_fit
Standard TabPFN v2,8,1,327.4280830000862,warm_prediction_no_fit
Standard TabPFN v2,9,1,316.9592740000553,warm_prediction_no_fit
Standard TabPFN v2,10,1,304.0502320000087,warm_prediction_no_fit
Standard TabPFN v2,11,1,312.0323120001558,warm_prediction_no_fit
Standard TabPFN v2,12,1,318.9753130000099,warm_prediction_no_fit
Standard TabPFN v2,13,1,297.91883300003974,warm_prediction_no_fit
Standard TabPFN v2,14,1,311.9091500002469,warm_prediction_no_fit
Standard TabPFN v2,15,1,305.9658019997187,warm_prediction_no_fit
Standard TabPFN v2,16,1,315.48125400013305,warm_prediction_no_fit
Standard TabPFN v2,17,1,311.4822190000268,warm_prediction_no_fit
Standard TabPFN v2,18,1,311.45778500012966,warm_prediction_no_fit
Standard TabPFN v2,19,1,318.85872400016524,warm_prediction_no_fit
Standard TabPFN v2,20,1,428.5518370002137,warm_prediction_no_fit
Standard TabPFN v2,21,1,404.6810340000775,warm_prediction_no_fit
Standard TabPFN v2,22,1,405.80858200019065,warm_prediction_no_fit
Standard TabPFN v2,23,1,397.24076399988917,warm_prediction_no_fit
Standard TabPFN v2,24,1,412.2533400000066,warm_prediction_no_fit
Standard TabPFN v2,25,1,414.9101569996674,warm_prediction_no_fit
Standard TabPFN v2,26,1,401.74414800003433,warm_prediction_no_fit
Standard TabPFN v2,27,1,467.9774620003627,warm_prediction_no_fit
Standard TabPFN v2,28,1,436.7167220002557,warm_prediction_no_fit
Standard TabPFN v2,29,1,511.26210200027344,warm_prediction_no_fit
Standard TabPFN v2,30,1,446.10952300035933,warm_prediction_no_fit
Balanced context K=1,1,1,306.81442399964,warm_sequential_member_prediction_no_fit
Balanced context K=1,2,1,303.50931100019807,warm_sequential_member_prediction_no_fit
Balanced context K=1,3,1,329.86167199987904,warm_sequential_member_prediction_no_fit
Balanced context K=1,4,1,298.8506439996854,warm_sequential_member_prediction_no_fit
Balanced context K=1,5,1,306.473146999906,warm_sequential_member_prediction_no_fit
Balanced context K=1,6,1,317.65921599981084,warm_sequential_member_prediction_no_fit
Balanced context K=1,7,1,305.3093819999049,warm_sequential_member_prediction_no_fit
Balanced context K=1,8,1,308.47733000018707,warm_sequential_member_prediction_no_fit
Balanced context K=1,9,1,311.9575629998508,warm_sequential_member_prediction_no_fit
Balanced context K=1,10,1,320.7996779997302,warm_sequential_member_prediction_no_fit
Balanced context K=1,11,1,302.80048000031456,warm_sequential_member_prediction_no_fit
Balanced context K=1,12,1,315.3967729999749,warm_sequential_member_prediction_no_fit
Balanced context K=1,13,1,319.58813499977623,warm_sequential_member_prediction_no_fit
Balanced context K=1,14,1,304.1236710000703,warm_sequential_member_prediction_no_fit
Balanced context K=1,15,1,312.10078899994187,warm_sequential_member_prediction_no_fit
Balanced context K=1,16,1,349.91651400014234,warm_sequential_member_prediction_no_fit
Balanced context K=1,17,1,337.1492549999857,warm_sequential_member_prediction_no_fit
Balanced context K=1,18,1,320.5083810003089,warm_sequential_member_prediction_no_fit
Balanced context K=1,19,1,329.08913000028406,warm_sequential_member_prediction_no_fit
Balanced context K=1,20,1,304.5320329997594,warm_sequential_member_prediction_no_fit
Balanced context K=1,21,1,303.3252700001867,warm_sequential_member_prediction_no_fit
Balanced context K=1,22,1,326.07712300023195,warm_sequential_member_prediction_no_fit
Balanced context K=1,23,1,303.0710299999555,warm_sequential_member_prediction_no_fit
Balanced context K=1,24,1,299.21753999997236,warm_sequential_member_prediction_no_fit
Balanced context K=1,25,1,309.161185999983,warm_sequential_member_prediction_no_fit
Balanced context K=1,26,1,319.44212999997035,warm_sequential_member_prediction_no_fit
Balanced context K=1,27,1,306.15263900017453,warm_sequential_member_prediction_no_fit
Balanced context K=1,28,1,330.6994609997673,warm_sequential_member_prediction_no_fit
Balanced context K=1,29,1,358.42000599996027,warm_sequential_member_prediction_no_fit
Balanced context K=1,30,1,416.72920800010615,warm_sequential_member_prediction_no_fit
