outer_fold,selected_k,secondary_parsimonious_k,best_mean_f2_k,best_mean_f2,one_se_f2_cutoff,selection_rule,best_mean_k_reporting_rule,selection_scope
1,1,1,1,0.6905101994437832,0.6551567250918116,smallest K within one standard error of the best mean development F2,"highest mean development F2, then recall, then smaller K; reported as a sensitivity",inner_cv_within_outer_training_only
2,1,1,10,0.6911539999759444,0.6406819413415052,smallest K within one standard error of the best mean development F2,"highest mean development F2, then recall, then smaller K; reported as a sensitivity",inner_cv_within_outer_training_only
3,1,1,1,0.7003247571239785,0.6774528433172728,smallest K within one standard error of the best mean development F2,"highest mean development F2, then recall, then smaller K; reported as a sensitivity",inner_cv_within_outer_training_only
4,1,1,15,0.6810140047674507,0.6406358948938503,smallest K within one standard error of the best mean development F2,"highest mean development F2, then recall, then smaller K; reported as a sensitivity",inner_cv_within_outer_training_only
5,1,1,10,0.6752204347309968,0.6261918555877961,smallest K within one standard error of the best mean development F2,"highest mean development F2, then recall, then smaller K; reported as a sensitivity",inner_cv_within_outer_training_only
6,5,5,20,0.6885829927085294,0.6758062753048714,smallest K within one standard error of the best mean development F2,"highest mean development F2, then recall, then smaller K; reported as a sensitivity",inner_cv_within_outer_training_only
7,5,5,20,0.674105461393597,0.6436508905727645,smallest K within one standard error of the best mean development F2,"highest mean development F2, then recall, then smaller K; reported as a sensitivity",inner_cv_within_outer_training_only
8,1,1,10,0.6269279882032149,0.5624562929909259,smallest K within one standard error of the best mean development F2,"highest mean development F2, then recall, then smaller K; reported as a sensitivity",inner_cv_within_outer_training_only
9,1,1,20,0.6104475663941289,0.5696917489573643,smallest K within one standard error of the best mean development F2,"highest mean development F2, then recall, then smaller K; reported as a sensitivity",inner_cv_within_outer_training_only
10,1,1,15,0.6479565194426338,0.6141409505102017,smallest K within one standard error of the best mean development F2,"highest mean development F2, then recall, then smaller K; reported as a sensitivity",inner_cv_within_outer_training_only
