model,curve,x,y,threshold
B-TabPFN nested K,ROC,0.0,0.0,inf
B-TabPFN nested K,ROC,0.0,0.007874015748031496,0.9422945976257324
B-TabPFN nested K,ROC,0.0,0.031496062992125984,0.9176484942436218
B-TabPFN nested K,ROC,0.004784688995215311,0.031496062992125984,0.9098323583602905
B-TabPFN nested K,ROC,0.004784688995215311,0.06299212598425197,0.894367516040802
B-TabPFN nested K,ROC,0.009569377990430622,0.06299212598425197,0.8927960991859436
B-TabPFN nested K,ROC,0.009569377990430622,0.07874015748031496,0.8818359375
B-TabPFN nested K,ROC,0.014354066985645933,0.07874015748031496,0.8812938928604126
B-TabPFN nested K,ROC,0.014354066985645933,0.08661417322834646,0.8761904835700989
B-TabPFN nested K,ROC,0.019138755980861243,0.08661417322834646,0.8740234375
B-TabPFN nested K,ROC,0.019138755980861243,0.09448818897637795,0.87255859375
B-TabPFN nested K,ROC,0.023923444976076555,0.09448818897637795,0.8682700395584106
B-TabPFN nested K,ROC,0.023923444976076555,0.11023622047244094,0.8639804720878601
B-TabPFN nested K,ROC,0.03349282296650718,0.11023622047244094,0.8536198139190674
B-TabPFN nested K,ROC,0.03349282296650718,0.14960629921259844,0.81884765625
B-TabPFN nested K,ROC,0.03827751196172249,0.14960629921259844,0.81640625
B-TabPFN nested K,ROC,0.03827751196172249,0.18110236220472442,0.7981989979743958
B-TabPFN nested K,ROC,0.0430622009569378,0.18110236220472442,0.796875
B-TabPFN nested K,ROC,0.0430622009569378,0.2125984251968504,0.78369140625
B-TabPFN nested K,ROC,0.04784688995215311,0.2125984251968504,0.783203125
B-TabPFN nested K,ROC,0.04784688995215311,0.2204724409448819,0.7808045744895935
B-TabPFN nested K,ROC,0.05263157894736842,0.2204724409448819,0.77783203125
B-TabPFN nested K,ROC,0.05263157894736842,0.23622047244094488,0.7685546875
B-TabPFN nested K,ROC,0.05741626794258373,0.23622047244094488,0.7639736533164978
B-TabPFN nested K,ROC,0.05741626794258373,0.2440944881889764,0.76171875
B-TabPFN nested K,ROC,0.06220095693779904,0.2440944881889764,0.7595801949501038
B-TabPFN nested K,ROC,0.06220095693779904,0.28346456692913385,0.738101065158844
B-TabPFN nested K,ROC,0.06698564593301436,0.28346456692913385,0.7376129031181335
B-TabPFN nested K,ROC,0.06698564593301436,0.29133858267716534,0.7286935448646545
B-TabPFN nested K,ROC,0.07655502392344497,0.29133858267716534,0.7256413698196411
B-TabPFN nested K,ROC,0.07655502392344497,0.2992125984251969,0.7233821749687195
B-TabPFN nested K,ROC,0.08133971291866028,0.2992125984251969,0.7208791375160217
B-TabPFN nested K,ROC,0.08133971291866028,0.3464566929133858,0.708669126033783
B-TabPFN nested K,ROC,0.0861244019138756,0.3464566929133858,0.70458984375
B-TabPFN nested K,ROC,0.0861244019138756,0.3779527559055118,0.6891331076622009
B-TabPFN nested K,ROC,0.09090909090909091,0.3779527559055118,0.6886983513832092
B-TabPFN nested K,ROC,0.09090909090909091,0.4015748031496063,0.67626953125
B-TabPFN nested K,ROC,0.10047846889952153,0.4015748031496063,0.6720390915870667
B-TabPFN nested K,ROC,0.10047846889952153,0.41732283464566927,0.65966796875
B-TabPFN nested K,ROC,0.11004784688995216,0.41732283464566927,0.6552734375
B-TabPFN nested K,ROC,0.11004784688995216,0.4251968503937008,0.653974711894989
B-TabPFN nested K,ROC,0.11961722488038277,0.4251968503937008,0.6494140625
B-TabPFN nested K,ROC,0.11961722488038277,0.4330708661417323,0.6485958695411682
B-TabPFN nested K,ROC,0.1291866028708134,0.4330708661417323,0.64453125
B-TabPFN nested K,ROC,0.1291866028708134,0.44881889763779526,0.6363858580589294
B-TabPFN nested K,ROC,0.13875598086124402,0.44881889763779526,0.6259765625
B-TabPFN nested K,ROC,0.13875598086124402,0.48031496062992124,0.6136197447776794
B-TabPFN nested K,ROC,0.14354066985645933,0.48031496062992124,0.6123046875
B-TabPFN nested K,ROC,0.14354066985645933,0.4881889763779528,0.6114774346351624
B-TabPFN nested K,ROC,0.14832535885167464,0.4881889763779528,0.6103515625
B-TabPFN nested K,ROC,0.15311004784688995,0.49606299212598426,0.60986328125
B-TabPFN nested K,ROC,0.15311004784688995,0.5039370078740157,0.608547031879425
B-TabPFN nested K,ROC,0.1674641148325359,0.5039370078740157,0.60302734375
B-TabPFN nested K,ROC,0.1674641148325359,0.5118110236220472,0.60107421875
B-TabPFN nested K,ROC,0.1722488038277512,0.5118110236220472,0.5949820280075073
B-TabPFN nested K,ROC,0.1722488038277512,0.5511811023622047,0.578125
B-TabPFN nested K,ROC,0.18181818181818182,0.5511811023622047,0.5779839158058167
B-TabPFN nested K,ROC,0.18181818181818182,0.5590551181102362,0.5711515545845032
B-TabPFN nested K,ROC,0.20095693779904306,0.5590551181102362,0.5672443509101868
B-TabPFN nested K,ROC,0.20095693779904306,0.5669291338582677,0.5670329928398132
B-TabPFN nested K,ROC,0.20574162679425836,0.5669291338582677,0.56591796875
B-TabPFN nested K,ROC,0.20574162679425836,0.5905511811023622,0.5615234375
B-TabPFN nested K,ROC,0.21052631578947367,0.5905511811023622,0.5557997822761536
B-TabPFN nested K,ROC,0.21052631578947367,0.5984251968503937,0.5556640625
B-TabPFN nested K,ROC,0.22009569377990432,0.5984251968503937,0.552734375
B-TabPFN nested K,ROC,0.22009569377990432,0.6141732283464567,0.5478515625
B-TabPFN nested K,ROC,0.22966507177033493,0.6141732283464567,0.546123743057251
B-TabPFN nested K,ROC,0.22966507177033493,0.6220472440944882,0.54150390625
B-TabPFN nested K,ROC,0.23444976076555024,0.6220472440944882,0.541015625
B-TabPFN nested K,ROC,0.23444976076555024,0.6299212598425197,0.53857421875
B-TabPFN nested K,ROC,0.23923444976076555,0.6299212598425197,0.5377289652824402
B-TabPFN nested K,ROC,0.23923444976076555,0.6456692913385826,0.53564453125
B-TabPFN nested K,ROC,0.24401913875598086,0.6456692913385826,0.5346400737762451
B-TabPFN nested K,ROC,0.24401913875598086,0.6535433070866141,0.5343101620674133
B-TabPFN nested K,ROC,0.2535885167464115,0.6535433070866141,0.5299145579338074
B-TabPFN nested K,ROC,0.2535885167464115,0.6614173228346457,0.52880859375
B-TabPFN nested K,ROC,0.2822966507177033,0.6614173228346457,0.5054945349693298
B-TabPFN nested K,ROC,0.2822966507177033,0.6692913385826772,0.5042714476585388
B-TabPFN nested K,ROC,0.28708133971291866,0.6692913385826772,0.50341796875
B-TabPFN nested K,ROC,0.28708133971291866,0.6771653543307087,0.50146484375
B-TabPFN nested K,ROC,0.291866028708134,0.6771653543307087,0.5002933740615845
B-TabPFN nested K,ROC,0.291866028708134,0.6850393700787402,0.49953994154930115
B-TabPFN nested K,ROC,0.31100478468899523,0.6850393700787402,0.48782458901405334
B-TabPFN nested K,ROC,0.31100478468899523,0.7007874015748031,0.48486328125
B-TabPFN nested K,ROC,0.32057416267942584,0.7007874015748031,0.48271793127059937
B-TabPFN nested K,ROC,0.32057416267942584,0.7086614173228346,0.4793650805950165
B-TabPFN nested K,ROC,0.3253588516746411,0.7086614173228346,0.478515625
B-TabPFN nested K,ROC,0.3253588516746411,0.7165354330708661,0.47473761439323425
B-TabPFN nested K,ROC,0.3349282296650718,0.7165354330708661,0.4710213243961334
B-TabPFN nested K,ROC,0.3349282296650718,0.7244094488188977,0.47014474868774414
B-TabPFN nested K,ROC,0.3588516746411483,0.7244094488188977,0.45654296875
B-TabPFN nested K,ROC,0.3588516746411483,0.7322834645669292,0.44970703125
B-TabPFN nested K,ROC,0.3684210526315789,0.7322834645669292,0.4444715678691864
B-TabPFN nested K,ROC,0.3684210526315789,0.7480314960629921,0.4366609752178192
B-TabPFN nested K,ROC,0.3827751196172249,0.7480314960629921,0.4285714328289032
B-TabPFN nested K,ROC,0.3827751196172249,0.7559055118110236,0.42689773440361023
B-TabPFN nested K,ROC,0.40669856459330145,0.7559055118110236,0.41676774621009827
