group_variable,group,n,positive,negative,prevalence,suppression_note
Q15_Gender,Female,201.0,64.0,137.0,0.31840796019900497,not_suppressed
Q15_Gender,Male,208.0,90.0,118.0,0.4326923076923077,not_suppressed
Q15_Gender,Prefer not to say,12.0,5.0,7.0,0.4166666666666667,not_suppressed
Q13_Faculty,College of Agriculture and Natural Resources,,,,,suppressed: total or outcome cell below public minimum
Q13_Faculty,College of Art and Built Environment,,,,,suppressed: total or outcome cell below public minimum
Q13_Faculty,College of Engineering,48.0,19.0,29.0,0.3958333333333333,not_suppressed
Q13_Faculty,College of Health Sciences,53.0,23.0,30.0,0.4339622641509434,not_suppressed
Q13_Faculty,College of Humanities and Social Sciences,139.0,53.0,86.0,0.381294964028777,not_suppressed
Q13_Faculty,College of Science,151.0,60.0,91.0,0.3973509933774834,not_suppressed
Q13_Faculty,Unresolved Other,,,,,suppressed: total or outcome cell below public minimum
Q14_Year,1,116.0,36.0,80.0,0.3103448275862069,not_suppressed
Q14_Year,2,105.0,41.0,64.0,0.3904761904761905,not_suppressed
Q14_Year,3,74.0,35.0,39.0,0.47297297297297297,not_suppressed
Q14_Year,4,120.0,47.0,73.0,0.39166666666666666,not_suppressed
Q14_Year,5,,,,,suppressed: total or outcome cell below public minimum
