analysis,design,fold,seed,K,requested_minority_prevalence,realized_minority_prevalence,context_n,context_minority_n,context_majority_n,n,positive,negative,tn,fp,fn,tp,threshold,accuracy,precision,recall,specificity,balanced_accuracy,npv,referral_n,referral_rate,reviews_per_detected_positive,f1,f2,auc_roc,average_precision,brier,ece_10,prevalence_condition
fixed_size_prevalence_sweep,fixed_n_228_0.4,1,1,1,0.4,0.3991228070175439,228,91,137,34,13,21,18,3,3,10,0.5,0.8235294117647058,0.7692307692307693,0.7692307692307693,0.8571428571428571,0.8131868131868132,0.8571428571428571,13,0.38235294117647056,1.3,0.7692307692307693,0.7692307692307693,0.8461538461538461,0.801671787501747,0.15422937692473723,0.11196535036844366,0.40
fixed_size_prevalence_sweep,fixed_n_228_0.4,1,7,1,0.4,0.3991228070175439,228,91,137,34,13,21,16,5,4,9,0.5,0.7352941176470589,0.6428571428571429,0.6923076923076923,0.7619047619047619,0.7271062271062271,0.8,14,0.4117647058823529,1.5555555555555556,0.6666666666666666,0.6818181818181818,0.8278388278388279,0.7677267177267175,0.16648317134405446,0.10211788906770596,0.40
fixed_size_prevalence_sweep,fixed_n_228_0.4,1,21,1,0.4,0.3991228070175439,228,91,137,34,13,21,18,3,4,9,0.5,0.7941176470588235,0.75,0.6923076923076923,0.8571428571428571,0.7747252747252746,0.8181818181818182,12,0.35294117647058826,1.3333333333333333,0.72,0.703125,0.8241758241758241,0.8124444183267712,0.16241796832336486,0.13120430927066243,0.40
fixed_size_prevalence_sweep,fixed_n_228_0.4,1,42,1,0.4,0.3991228070175439,228,91,137,34,13,21,17,4,5,8,0.5,0.7352941176470589,0.6666666666666666,0.6153846153846154,0.8095238095238095,0.7124542124542125,0.7727272727272727,12,0.35294117647058826,1.5,0.64,0.625,0.815018315018315,0.7051667956645331,0.17037050979343937,0.08023252820267397,0.40
fixed_size_prevalence_sweep,fixed_n_228_0.4,1,99,1,0.4,0.3991228070175439,228,91,137,34,13,21,18,3,4,9,0.5,0.7941176470588235,0.75,0.6923076923076923,0.8571428571428571,0.7747252747252746,0.8181818181818182,12,0.35294117647058826,1.3333333333333333,0.72,0.703125,0.8498168498168499,0.8240250790453632,0.1524468982266971,0.08925913581076791,0.40
fixed_size_prevalence_sweep,fixed_n_228_0.4,2,1,1,0.4,0.3991228070175439,228,91,137,34,13,21,18,3,6,7,0.5,0.7352941176470589,0.7,0.5384615384615384,0.8571428571428571,0.6978021978021978,0.75,10,0.29411764705882354,1.4285714285714286,0.6086956521739131,0.5645161290322581,0.6923076923076924,0.5833880891755654,0.2105736454972716,0.14473668836495457,0.40
fixed_size_prevalence_sweep,fixed_n_228_0.4,2,7,1,0.4,0.3991228070175439,228,91,137,34,13,21,18,3,9,4,0.5,0.6470588235294118,0.5714285714285714,0.3076923076923077,0.8571428571428571,0.5824175824175823,0.6666666666666666,7,0.20588235294117646,1.75,0.4,0.3389830508474576,0.7032967032967032,0.6199306483425591,0.2119952074652154,0.1983000947272076,0.40
fixed_size_prevalence_sweep,fixed_n_228_0.4,2,21,1,0.4,0.3991228070175439,228,91,137,34,13,21,16,5,5,8,0.5,0.7058823529411765,0.6153846153846154,0.6153846153846154,0.7619047619047619,0.6886446886446886,0.7619047619047619,13,0.38235294117647056,1.625,0.6153846153846154,0.6153846153846154,0.7216117216117217,0.6471267514495755,0.20467980821140114,0.09298855066299438,0.40
fixed_size_prevalence_sweep,fixed_n_228_0.4,2,42,1,0.4,0.3991228070175439,228,91,137,34,13,21,16,5,7,6,0.5,0.6470588235294118,0.5454545454545454,0.46153846153846156,0.7619047619047619,0.6117216117216118,0.6956521739130435,11,0.3235294117647059,1.8333333333333333,0.5,0.47619047619047616,0.673992673992674,0.5406154771721842,0.21409940742026468,0.2618921984206228,0.40
fixed_size_prevalence_sweep,fixed_n_228_0.4,2,99,1,0.4,0.3991228070175439,228,91,137,34,13,21,16,5,6,7,0.5,0.6764705882352942,0.5833333333333334,0.5384615384615384,0.7619047619047619,0.6501831501831501,0.7272727272727273,12,0.35294117647058826,1.7142857142857142,0.56,0.546875,0.7106227106227107,0.6674279123517592,0.20163517537505415,0.21871703052345445,0.40
fixed_size_prevalence_sweep,fixed_n_228_0.4,3,1,1,0.4,0.3991228070175439,228,91,137,34,13,21,13,8,8,5,0.5,0.5294117647058824,0.38461538461538464,0.38461538461538464,0.6190476190476191,0.5018315018315018,0.6190476190476191,13,0.38235294117647056,2.6,0.38461538461538464,0.38461538461538464,0.5787545787545788,0.5189321553777787,0.27812638472789764,0.2680465061874951,0.40
fixed_size_prevalence_sweep,fixed_n_228_0.4,3,7,1,0.4,0.3991228070175439,228,91,137,34,13,21,17,4,10,3,0.5,0.5882352941176471,0.42857142857142855,0.23076923076923078,0.8095238095238095,0.5201465201465202,0.6296296296296297,7,0.20588235294117646,2.3333333333333335,0.3,0.2542372881355932,0.5421245421245422,0.42686427382783665,0.26573385693066814,0.17396716466721368,0.40
fixed_size_prevalence_sweep,fixed_n_228_0.4,3,21,1,0.4,0.3991228070175439,228,91,137,34,13,21,17,4,9,4,0.5,0.6176470588235294,0.5,0.3076923076923077,0.8095238095238095,0.5586080586080586,0.6538461538461539,8,0.23529411764705882,2.0,0.38095238095238093,0.3333333333333333,0.6007326007326008,0.5317856292103784,0.23899354940836548,0.24923385723548777,0.40
fixed_size_prevalence_sweep,fixed_n_228_0.4,3,42,1,0.4,0.3991228070175439,228,91,137,34,13,21,12,9,9,4,0.5,0.47058823529411764,0.3076923076923077,0.3076923076923077,0.5714285714285714,0.43956043956043955,0.5714285714285714,13,0.38235294117647056,3.25,0.3076923076923077,0.3076923076923077,0.5714285714285714,0.4686132942989131,0.2609579638562649,0.28079127717544056,0.40
fixed_size_prevalence_sweep,fixed_n_228_0.4,3,99,1,0.4,0.3991228070175439,228,91,137,34,13,21,15,6,8,5,0.5,0.5882352941176471,0.45454545454545453,0.38461538461538464,0.7142857142857143,0.5494505494505495,0.6521739130434783,11,0.3235294117647059,2.2,0.4166666666666667,0.3968253968253968,0.5641025641025641,0.47428757171232083,0.24845397629814445,0.24237854187102875,0.40
fixed_size_prevalence_sweep,fixed_n_228_0.4,4,1,1,0.4,0.3991228070175439,228,91,137,34,13,21,17,4,10,3,0.5,0.5882352941176471,0.42857142857142855,0.23076923076923078,0.8095238095238095,0.5201465201465202,0.6296296296296297,7,0.20588235294117646,2.3333333333333335,0.3,0.2542372881355932,0.7106227106227107,0.5203318009819557,0.2358653305041495,0.19365322852835937,0.40
