partition,model,bin,mean_score,observed_rate
training_oof,B-TabPFN nested K,1,0.18322633075363495,0.17647058823529413
training_oof,B-TabPFN nested K,2,0.2303923263269312,0.08823529411764706
training_oof,B-TabPFN nested K,3,0.2758381800218062,0.21212121212121213
training_oof,B-TabPFN nested K,4,0.3382699261693394,0.20588235294117646
training_oof,B-TabPFN nested K,5,0.4120541892268441,0.3333333333333333
training_oof,B-TabPFN nested K,6,0.4915006546413197,0.29411764705882354
training_oof,B-TabPFN nested K,7,0.5595661528182753,0.5454545454545454
training_oof,B-TabPFN nested K,8,0.6357244007727679,0.5
training_oof,B-TabPFN nested K,9,0.7368313850778522,0.696969696969697
training_oof,B-TabPFN nested K,10,0.8616973792805391,0.7352941176470589
training_oof,Standard TabPFN v2,1,0.10814814313369639,0.08823529411764706
training_oof,Standard TabPFN v2,2,0.13817302378661492,0.17647058823529413
training_oof,Standard TabPFN v2,3,0.17506043793577136,0.21212121212121213
training_oof,Standard TabPFN v2,4,0.22593365609645844,0.20588235294117646
training_oof,Standard TabPFN v2,5,0.28488560517628986,0.3333333333333333
training_oof,Standard TabPFN v2,6,0.36276233722181883,0.29411764705882354
training_oof,Standard TabPFN v2,7,0.4400971577023015,0.5151515151515151
training_oof,Standard TabPFN v2,8,0.5404998633791419,0.5588235294117647
training_oof,Standard TabPFN v2,9,0.6401948367848116,0.5588235294117647
training_oof,Standard TabPFN v2,10,0.7926989414475181,0.8484848484848485
held_out_test,B-TabPFN K=1,1,0.16223893066247305,0.1111111111111111
held_out_test,B-TabPFN K=1,2,0.21699252165853977,0.25
held_out_test,B-TabPFN K=1,3,0.2727326535516315,0.1111111111111111
held_out_test,B-TabPFN K=1,4,0.33569537103176117,0.25
held_out_test,B-TabPFN K=1,5,0.4110390709506141,0.1111111111111111
held_out_test,B-TabPFN K=1,6,0.5052766427397728,0.5
held_out_test,B-TabPFN K=1,7,0.6397901400923729,0.5
held_out_test,B-TabPFN K=1,8,0.7196235921647813,0.6666666666666666
held_out_test,B-TabPFN K=1,9,0.833219587802887,0.625
held_out_test,B-TabPFN K=1,10,0.8892998761600919,0.6666666666666666
held_out_test,Standard TabPFN v2,1,0.1037942005528344,0.1111111111111111
held_out_test,Standard TabPFN v2,2,0.1316578295081854,0.25
held_out_test,Standard TabPFN v2,3,0.17142926984363133,0.2222222222222222
held_out_test,Standard TabPFN v2,4,0.21662791818380356,0.125
held_out_test,Standard TabPFN v2,5,0.275921740465694,0.1111111111111111
held_out_test,Standard TabPFN v2,6,0.3720712661743164,0.25
held_out_test,Standard TabPFN v2,7,0.4826337471604347,0.875
held_out_test,Standard TabPFN v2,8,0.6381980644332038,0.5555555555555556
held_out_test,Standard TabPFN v2,9,0.7288756966590881,0.75
held_out_test,Standard TabPFN v2,10,0.8008345233069526,0.5555555555555556
