model,order,feature_i,feature_j,mean_signed_fsii,sd_signed_fsii,mean_abs_fsii,sd_abs_fsii,positive_direction_fraction,explained_students,signed_ci_low,signed_ci_high,direction,budget,explanation_scale,uncertainty_role,feature_i_construct,feature_j_construct,absolute_attribution_rank,candidate_interactions,presentation_rule
B-TabPFN K=1,2,Q7_PHQ2_Depressed,Q9_GAD2_Worry,-0.01617784496195324,0.06800380399014723,0.0565174249145418,0.039967787524450904,0.375,32,-0.04069583084721036,0.008340140923303884,uncertain_ci_crosses_zero,1024,positive_class_probability,descriptive unadjusted interval; not a significance test,Psychological distress,Psychological distress,1,91,ten largest mean absolute pairwise attributions; all 91 pairs retained in supplement
B-TabPFN K=1,2,Q7_PHQ2_Depressed,Q8_GAD2_Nervous,-0.017390576650896047,0.055170083042503135,0.04932520785485207,0.029059712047537694,0.34375,32,-0.037281512715598195,0.002500359413806101,uncertain_ci_crosses_zero,1024,positive_class_probability,descriptive unadjusted interval; not a significance test,Psychological distress,Psychological distress,2,91,ten largest mean absolute pairwise attributions; all 91 pairs retained in supplement
B-TabPFN K=1,2,Q6_PHQ2_Interest,Q7_PHQ2_Depressed,-0.005431846676798981,0.052617840843960796,0.04382422307736476,0.02857582453698884,0.5625,32,-0.024402601302699778,0.013538907949101814,uncertain_ci_crosses_zero,1024,positive_class_probability,descriptive unadjusted interval; not a significance test,Psychological distress,Psychological distress,3,91,ten largest mean absolute pairwise attributions; all 91 pairs retained in supplement
B-TabPFN K=1,2,Q8_GAD2_Nervous,Q9_GAD2_Worry,-0.020536836240672002,0.04709721475969252,0.042050822540380874,0.028778495392226794,0.3125,32,-0.03751719291131308,-0.0035564795700309265,negative,1024,positive_class_probability,descriptive unadjusted interval; not a significance test,Psychological distress,Psychological distress,4,91,ten largest mean absolute pairwise attributions; all 91 pairs retained in supplement
B-TabPFN K=1,2,Q6_PHQ2_Interest,Q8_GAD2_Nervous,-0.012894092706963135,0.03216188264216621,0.025780928181053764,0.022801550139178842,0.34375,32,-0.024489687929521213,-0.0012984974844050569,negative,1024,positive_class_probability,descriptive unadjusted interval; not a significance test,Psychological distress,Psychological distress,5,91,ten largest mean absolute pairwise attributions; all 91 pairs retained in supplement
B-TabPFN K=1,2,Q6_PHQ2_Interest,Q9_GAD2_Worry,-0.007461962719718902,0.03695262081667538,0.025444102500659677,0.027471565874775176,0.59375,32,-0.020784803244019164,0.00586087780458136,uncertain_ci_crosses_zero,1024,positive_class_probability,descriptive unadjusted interval; not a significance test,Psychological distress,Psychological distress,6,91,ten largest mean absolute pairwise attributions; all 91 pairs retained in supplement
B-TabPFN K=1,2,Q2_Attendance,Q3_Assignments,-0.00836777803787058,0.020907993393959674,0.01665549721309583,0.014935475975047378,0.34375,32,-0.015905913507416134,-0.0008296425683250236,negative,1024,positive_class_probability,descriptive unadjusted interval; not a significance test,Academic engagement and integration,Academic engagement and integration,7,91,ten largest mean absolute pairwise attributions; all 91 pairs retained in supplement
B-TabPFN K=1,2,Q4_Repeating,Q6_PHQ2_Interest,-0.0006019422796017318,0.027096951887322557,0.01579380520175199,0.02184325872631495,0.40625,32,-0.010371435233306534,0.00916755067410307,uncertain_ci_crosses_zero,1024,positive_class_probability,descriptive unadjusted interval; not a significance test,Academic progression,Psychological distress,8,91,ten largest mean absolute pairwise attributions; all 91 pairs retained in supplement
B-TabPFN K=1,2,Q2_Attendance,Q7_PHQ2_Depressed,-0.004522175596025825,0.016659468907825048,0.01489659779834629,0.008341503906319691,0.46875,32,-0.010528554645014229,0.0014842034529625797,uncertain_ci_crosses_zero,1024,positive_class_probability,descriptive unadjusted interval; not a significance test,Academic engagement and integration,Psychological distress,9,91,ten largest mean absolute pairwise attributions; all 91 pairs retained in supplement
B-TabPFN K=1,2,Q3_Assignments,Q4_Repeating,0.0006390818372036092,0.01625585272773799,0.01330309543203883,0.009055010492763667,0.625,32,-0.005221778061005088,0.006499941735412306,uncertain_ci_crosses_zero,1024,positive_class_probability,descriptive unadjusted interval; not a significance test,Academic engagement and integration,Academic progression,10,91,ten largest mean absolute pairwise attributions; all 91 pairs retained in supplement
