fold_dropped,n_kept,mean_delta,minimum_delta,sign_holds
1,9,0.19230769230769232,0.07692307692307693,True
2,9,0.17521367521367523,0.07692307692307693,True
3,9,0.2008547008547009,0.07692307692307693,True
4,9,0.1837606837606838,0.07692307692307693,True
5,9,0.17521367521367523,0.07692307692307693,True
6,9,0.2008547008547009,0.07692307692307693,True
7,9,0.20014245014245016,0.07692307692307693,True
8,9,0.1908831908831909,0.07692307692307693,True
9,9,0.18162393162393167,0.07692307692307693,True
10,9,0.1837606837606838,0.07692307692307693,True
