seed,seed_role,computation_status,train_n,test_n,test_positive,recall_standard,recall_btabpfn,delta_recall,f2_standard,f2_btabpfn,delta_f2,analysis_role
1,previously_reported,current_run_section_7,336,85,32,0.5,0.65625,0.15625,0.5128205128205128,0.6402439024390244,0.12742338961851163,"overlapping random-split closeout sensitivity; descriptive, not independent replication"
7,previously_reported,current_run_section_7,336,85,32,0.53125,0.75,0.21875,0.5629139072847682,0.7547169811320755,0.19180307384730733,"overlapping random-split closeout sensitivity; descriptive, not independent replication"
21,previously_reported,current_run_section_7,336,85,32,0.4375,0.6875,0.25,0.47619047619047616,0.6832298136645962,0.20703933747412007,"overlapping random-split closeout sensitivity; descriptive, not independent replication"
42,previously_reported,current_run_section_7,336,85,32,0.59375,0.71875,0.125,0.6050955414012739,0.6927710843373494,0.08767554293607549,"overlapping random-split closeout sensitivity; descriptive, not independent replication"
99,previously_reported,current_run_section_7,336,85,32,0.40625,0.59375,0.1875,0.436241610738255,0.59375,0.15750838926174499,"overlapping random-split closeout sensitivity; descriptive, not independent replication"
101,additional_closeout,computed_in_closeout_section,336,85,32,0.65625,0.8125,0.15625,0.6687898089171974,0.7738095238095238,0.10501971489232642,"overlapping random-split closeout sensitivity; descriptive, not independent replication"
202,additional_closeout,computed_in_closeout_section,336,85,32,0.5,0.65625,0.15625,0.5228758169934641,0.6481481481481481,0.12527233115468406,"overlapping random-split closeout sensitivity; descriptive, not independent replication"
303,additional_closeout,computed_in_closeout_section,336,85,32,0.34375,0.65625,0.3125,0.3819444444444444,0.660377358490566,0.2784329140461216,"overlapping random-split closeout sensitivity; descriptive, not independent replication"
404,additional_closeout,computed_in_closeout_section,336,85,32,0.5,0.75,0.25,0.5405405405405406,0.7547169811320755,0.21417644059153496,"overlapping random-split closeout sensitivity; descriptive, not independent replication"
505,additional_closeout,computed_in_closeout_section,336,85,32,0.5625,0.6875,0.125,0.5625,0.650887573964497,0.08838757396449703,"overlapping random-split closeout sensitivity; descriptive, not independent replication"
