fold,model,n,positive,negative,tn,fp,fn,tp,threshold,accuracy,precision,recall,specificity,balanced_accuracy,npv,referral_n,referral_rate,reviews_per_detected_positive,f1,f2,auc_roc,average_precision,brier,ece_10,selected_k
1,Logistic Regression,34,13,21,16,5,4,9,0.5,0.7352941176470589,0.6428571428571429,0.6923076923076923,0.7619047619047619,0.7271062271062271,0.8,14,0.4117647058823529,1.5555555555555556,0.6666666666666666,0.6818181818181818,0.8095238095238096,0.7204003512827042,0.1930629726663562,0.2096450890524814,
1,Random Forest,34,13,21,16,5,4,9,0.5,0.7352941176470589,0.6428571428571429,0.6923076923076923,0.7619047619047619,0.7271062271062271,0.8,14,0.4117647058823529,1.5555555555555556,0.6666666666666666,0.6818181818181818,0.816849816849817,0.7639423076923075,0.1787536387911483,0.1780335461301396,
1,Gaussian Naive Bayes,34,13,21,3,18,0,13,0.5,0.47058823529411764,0.41935483870967744,1.0,0.14285714285714285,0.5714285714285714,1.0,31,0.9117647058823529,2.3846153846153846,0.5909090909090909,0.7831325301204819,0.8901098901098902,0.8681518672897983,0.4667930403006566,0.49156621443901005,
1,KNN,34,13,21,18,3,9,4,0.5,0.6470588235294118,0.5714285714285714,0.3076923076923077,0.8571428571428571,0.5824175824175823,0.6666666666666666,7,0.20588235294117646,1.75,0.4,0.3389830508474576,0.5714285714285714,0.4769399398555409,0.2679738562091504,0.1568627450980392,
1,XGBoost,34,13,21,17,4,4,9,0.5,0.7647058823529411,0.6923076923076923,0.6923076923076923,0.8095238095238095,0.7509157509157509,0.8095238095238095,13,0.38235294117647056,1.4444444444444444,0.6923076923076923,0.6923076923076923,0.7728937728937729,0.7161316191680565,0.17856747192174993,0.16258666401400287,
1,Standard TabPFN v2,34,13,21,18,3,5,8,0.5,0.7647058823529411,0.7272727272727273,0.6153846153846154,0.8571428571428571,0.7362637362637363,0.782608695652174,11,0.3235294117647059,1.375,0.6666666666666666,0.6349206349206349,0.8424908424908425,0.7937660881099795,0.15949921280194918,0.089096840690164,
1,B-TabPFN nested K,34,13,21,16,5,3,10,0.5,0.7647058823529411,0.6666666666666666,0.7692307692307693,0.7619047619047619,0.7655677655677655,0.8421052631578947,15,0.4411764705882353,1.5,0.7142857142857143,0.746268656716418,0.8388278388278388,0.7783814727253642,0.16722027382747703,0.15220227443120057,1.0
1,B-TabPFN K=1 sensitivity,34,13,21,16,5,3,10,0.5,0.7647058823529411,0.6666666666666666,0.7692307692307693,0.7619047619047619,0.7655677655677655,0.8421052631578947,15,0.4411764705882353,1.5,0.7142857142857143,0.746268656716418,0.8388278388278388,0.7783814727253642,0.16722027382747703,0.15220227443120057,
1,B-TabPFN K=5 sensitivity,34,13,21,16,5,3,10,0.5,0.7647058823529411,0.6666666666666666,0.7692307692307693,0.7619047619047619,0.7655677655677655,0.8421052631578947,15,0.4411764705882353,1.5,0.7142857142857143,0.746268656716418,0.8424908424908426,0.7977813036636565,0.1688068915243944,0.12252891677267412,
1,B-TabPFN K=10 sensitivity,34,13,21,16,5,3,10,0.5,0.7647058823529411,0.6666666666666666,0.7692307692307693,0.7619047619047619,0.7655677655677655,0.8421052631578947,15,0.4411764705882353,1.5,0.7142857142857143,0.746268656716418,0.8351648351648352,0.7858765417588947,0.17036505886203746,0.10636972504503588,
1,B-TabPFN K=15 sensitivity,34,13,21,16,5,3,10,0.5,0.7647058823529411,0.6666666666666666,0.7692307692307693,0.7619047619047619,0.7655677655677655,0.8421052631578947,15,0.4411764705882353,1.5,0.7142857142857143,0.746268656716418,0.8278388278388279,0.7692603992806832,0.1706330317804671,0.12608250668820212,
1,B-TabPFN K=20 sensitivity,34,13,21,16,5,3,10,0.5,0.7647058823529411,0.6666666666666666,0.7692307692307693,0.7619047619047619,0.7655677655677655,0.8421052631578947,15,0.4411764705882353,1.5,0.7142857142857143,0.746268656716418,0.8278388278388279,0.7692603992806832,0.17150299446247796,0.12619065230383594,
2,Logistic Regression,34,13,21,17,4,5,8,0.5,0.7352941176470589,0.6666666666666666,0.6153846153846154,0.8095238095238095,0.7124542124542125,0.7727272727272727,12,0.35294117647058826,1.5,0.64,0.625,0.7252747252747254,0.7211715064334427,0.199389076949788,0.14624749145880345,
2,Random Forest,34,13,21,13,8,4,9,0.5,0.6470588235294118,0.5294117647058824,0.6923076923076923,0.6190476190476191,0.6556776556776557,0.7647058823529411,17,0.5,1.8888888888888888,0.6,0.6521739130434783,0.6959706959706959,0.6020318804437911,0.2229958935448076,0.1997196300668903,
2,Gaussian Naive Bayes,34,13,21,5,16,1,12,0.5,0.5,0.42857142857142855,0.9230769230769231,0.23809523809523808,0.5805860805860806,0.8333333333333334,28,0.8235294117647058,2.3333333333333335,0.5853658536585366,0.75,0.728937728937729,0.664696561911416,0.46083722919661463,0.462070696338702,
2,KNN,34,13,21,17,4,7,6,0.5,0.6764705882352942,0.6,0.46153846153846156,0.8095238095238095,0.6355311355311355,0.7083333333333334,10,0.29411764705882354,1.6666666666666667,0.5217391304347826,0.4838709677419355,0.7197802197802198,0.53710407239819,0.20588235294117646,0.08823529411764708,
2,XGBoost,34,13,21,13,8,5,8,0.5,0.6176470588235294,0.5,0.6153846153846154,0.6190476190476191,0.6172161172161172,0.7222222222222222,16,0.47058823529411764,2.0,0.5517241379310345,0.5882352941176471,0.6556776556776558,0.5116267350612701,0.2477047966499104,0.1848388944259461,
2,Standard TabPFN v2,34,13,21,18,3,8,5,0.5,0.6764705882352942,0.625,0.38461538461538464,0.8571428571428571,0.6208791208791209,0.6923076923076923,8,0.23529411764705882,1.6,0.47619047619047616,0.4166666666666667,0.684981684981685,0.6226779010898118,0.20829782417550996,0.1408161654630128,
2,B-TabPFN nested K,34,13,21,15,6,4,9,0.5,0.7058823529411765,0.6,0.6923076923076923,0.7142857142857143,0.7032967032967032,0.7894736842105263,15,0.4411764705882353,1.6666666666666667,0.6428571428571429,0.6716417910447762,0.6849816849816851,0.6089419561948426,0.21933886702579072,0.16830944751991947,1.0
2,B-TabPFN K=1 sensitivity,34,13,21,15,6,4,9,0.5,0.7058823529411765,0.6,0.6923076923076923,0.7142857142857143,0.7032967032967032,0.7894736842105263,15,0.4411764705882353,1.6666666666666667,0.6428571428571429,0.6716417910447762,0.6849816849816851,0.6089419561948426,0.21933886702579072,0.16830944751991947,
2,B-TabPFN K=5 sensitivity,34,13,21,15,6,4,9,0.5,0.7058823529411765,0.6,0.6923076923076923,0.7142857142857143,0.7032967032967032,0.7894736842105263,15,0.4411764705882353,1.6666666666666667,0.6428571428571429,0.6716417910447762,0.6886446886446886,0.6202520113297045,0.21744639636178925,0.14133464895627076,
2,B-TabPFN K=10 sensitivity,34,13,21,15,6,4,9,0.5,0.7058823529411765,0.6,0.6923076923076923,0.7142857142857143,0.7032967032967032,0.7894736842105263,15,0.4411764705882353,1.6666666666666667,0.6428571428571429,0.6716417910447762,0.695970695970696,0.679303074226921,0.2186487548111883,0.1699566280140596,
2,B-TabPFN K=15 sensitivity,34,13,21,15,6,4,9,0.5,0.7058823529411765,0.6,0.6923076923076923,0.7142857142857143,0.7032967032967032,0.7894736842105263,15,0.4411764705882353,1.6666666666666667,0.6428571428571429,0.6716417910447762,0.6923076923076924,0.6658794289067242,0.2183002448913678,0.17623898693743872,
2,B-TabPFN K=20 sensitivity,34,13,21,15,6,4,9,0.5,0.7058823529411765,0.6,0.6923076923076923,0.7142857142857143,0.7032967032967032,0.7894736842105263,15,0.4411764705882353,1.6666666666666667,0.6428571428571429,0.6716417910447762,0.6886446886446886,0.6594691724964676,0.21727024518950877,0.17640532859984567,
3,Logistic Regression,34,13,21,10,11,6,7,0.5,0.5,0.3888888888888889,0.5384615384615384,0.47619047619047616,0.5073260073260073,0.625,18,0.5294117647058824,2.5714285714285716,0.45161290322580644,0.5,0.5567765567765568,0.42863595805022947,0.26245008238938744,0.2527892466007334,
3,Random Forest,34,13,21,11,10,7,6,0.5,0.5,0.375,0.46153846153846156,0.5238095238095238,0.4926739926739927,0.6111111111111112,16,0.47058823529411764,2.6666666666666665,0.41379310344827586,0.4411764705882353,0.5677655677655677,0.4781538160700276,0.2484474189301735,0.21253221245915443,
3,Gaussian Naive Bayes,34,13,21,2,19,0,13,0.5,0.4411764705882353,0.40625,1.0,0.09523809523809523,0.5476190476190477,1.0,32,0.9411764705882353,2.4615384615384617,0.5777777777777777,0.7738095238095238,0.5787545787545788,0.46851069222262676,0.55148544311982,0.5548609703635436,
3,KNN,34,13,21,18,3,10,3,0.5,0.6176470588235294,0.5,0.23076923076923078,0.8571428571428571,0.5439560439560439,0.6428571428571429,6,0.17647058823529413,2.0,0.3157894736842105,0.25862068965517243,0.5714285714285714,0.4308338720103426,0.29084967320261446,0.1862745098039216,
3,XGBoost,34,13,21,12,9,6,7,0.5,0.5588235294117647,0.4375,0.5384615384615384,0.5714285714285714,0.554945054945055,0.6666666666666666,16,0.47058823529411764,2.2857142857142856,0.4827586206896552,0.5147058823529411,0.5787545787545788,0.5181909794353572,0.27937664112410077,0.2838949741905226,
3,Standard TabPFN v2,34,13,21,16,5,8,5,0.5,0.6176470588235294,0.5,0.38461538461538464,0.7619047619047619,0.5732600732600732,0.6666666666666666,10,0.29411764705882354,2.0,0.43478260869565216,0.4032258064516129,0.5677655677655677,0.452774020850944,0.2558674012957875,0.23489405740709865,
3,B-TabPFN nested K,34,13,21,11,10,7,6,0.5,0.5,0.375,0.46153846153846156,0.5238095238095238,0.4926739926739927,0.6111111111111112,16,0.47058823529411764,2.6666666666666665,0.41379310344827586,0.4411764705882353,0.5860805860805861,0.49562468870161175,0.2549644891702723,0.2356567466083695,1.0
3,B-TabPFN K=1 sensitivity,34,13,21,11,10,7,6,0.5,0.5,0.375,0.46153846153846156,0.5238095238095238,0.4926739926739927,0.6111111111111112,16,0.47058823529411764,2.6666666666666665,0.41379310344827586,0.4411764705882353,0.5860805860805861,0.49562468870161175,0.2549644891702723,0.2356567466083695,
3,B-TabPFN K=5 sensitivity,34,13,21,11,10,7,6,0.5,0.5,0.375,0.46153846153846156,0.5238095238095238,0.4926739926739927,0.6111111111111112,16,0.47058823529411764,2.6666666666666665,0.41379310344827586,0.4411764705882353,0.5897435897435898,0.4705818952377656,0.25882458830383026,0.22730159496559815,
