partition,group_variable,grouping_dimension,group,model,recall_eod_eligible,auc_eligible,recall_ci_low_wilson,recall_ci_high_wilson,n,positive,negative,tn,fp,fn,tp,threshold,accuracy,precision,recall,specificity,balanced_accuracy,npv,referral_n,referral_rate,reviews_per_detected_positive,f1,f2,auc_roc,average_precision,brier,ece_10,suppression_note,interpretation_status
nested_development_oof,Q15_Gender,gender,Female,Standard TabPFN v2,True,True,0.1999930771,0.4655689606,153.0,44.0,109.0,91.0,18.0,30.0,14.0,0.5,0.6862745098,0.4375,0.3181818182,0.8348623853,0.5765221018,0.7520661157,32,0.2091503268,2.2857142857,0.3684210526,0.3365384615,0.6488740617,0.425024692,0.2042448279,0.0974147621,not_suppressed,interpretable_under_predeclared_event_rule
nested_development_oof,Q15_Gender,gender,Male,Standard TabPFN v2,True,True,0.4536198657,0.6685675946,174.0,78.0,96.0,80.0,16.0,34.0,44.0,0.5,0.7126436782,0.7333333333,0.5641025641,0.8333333333,0.6987179487,0.701754386,60,0.3448275862,1.3636363636,0.6376811594,0.5913978495,0.8058226496,0.7595041328,0.1822284941,0.0546855578,not_suppressed,interpretable_under_predeclared_event_rule
nested_development_oof,Q15_Gender,gender,Prefer not to say,Standard TabPFN v2,True,False,,,,,,,,,,0.5,,,,,,,5,0.5555555556,1.25,,,,,,,suppressed: public cell or event count below five,not_interpretable_publicly
nested_development_oof,Q14_Year,year,1,Standard TabPFN v2,True,True,0.2153251296,0.5577076559,89.0,27.0,62.0,53.0,9.0,17.0,10.0,0.5,0.7078651685,0.5263157895,0.3703703704,0.8548387097,0.61260454,0.7571428571,19,0.2134831461,1.9,0.4347826087,0.3937007874,0.7153524492,0.5134589242,0.1873220166,0.1167412636,not_suppressed,interpretable_under_predeclared_event_rule
nested_development_oof,Q14_Year,year,2,Standard TabPFN v2,True,True,0.4080726334,0.7276440337,86.0,33.0,53.0,46.0,7.0,14.0,19.0,0.5,0.7558139535,0.7307692308,0.5757575758,0.8679245283,0.721841052,0.7666666667,26,0.3023255814,1.3684210526,0.6440677966,0.6012658228,0.7793024585,0.7354441921,0.1819980921,0.0921684058,not_suppressed,interpretable_under_predeclared_event_rule
nested_development_oof,Q14_Year,year,3,Standard TabPFN v2,True,True,0.4400254421,0.773119779,60.0,29.0,31.0,24.0,7.0,11.0,18.0,0.5,0.7,0.72,0.6206896552,0.7741935484,0.6974416018,0.6857142857,25,0.4166666667,1.3888888889,0.6666666667,0.6382978723,0.7886540601,0.7312653992,0.1920553938,0.1168291145,not_suppressed,interpretable_under_predeclared_event_rule
nested_development_oof,Q14_Year,year,4,Standard TabPFN v2,True,True,0.2559807575,0.55282132,96.0,38.0,58.0,47.0,11.0,23.0,15.0,0.5,0.6458333333,0.5769230769,0.3947368421,0.8103448276,0.6025408348,0.6714285714,26,0.2708333333,1.7333333333,0.46875,0.4213483146,0.7218693285,0.6162867917,0.2077379939,0.0936342583,not_suppressed,interpretable_under_predeclared_event_rule
nested_development_oof,Q14_Year,year,5,Standard TabPFN v2,False,False,,,,,,,,,,0.5,,,,,,,1,0.2,,,,,,,,suppressed: public cell or event count below five,not_interpretable_publicly
nested_development_oof,Q13_Faculty,official_college,College of Agriculture and Natural Resources,Standard TabPFN v2,False,False,,,,,,,,,,0.5,,,,,,,1,0.1,,,,,,,,suppressed: public cell or event count below five,not_interpretable_publicly
nested_development_oof,Q13_Faculty,official_college,College of Art and Built Environment,Standard TabPFN v2,False,False,,,,,,,,,,0.5,,,,,,,5,0.5555555556,5.0,,,,,,,suppressed: public cell or event count below five,not_interpretable_publicly
nested_development_oof,Q13_Faculty,official_college,College of Engineering,Standard TabPFN v2,True,True,0.4804956594,0.8910254667,38.0,15.0,23.0,21.0,2.0,4.0,11.0,0.5,0.8421052632,0.8461538462,0.7333333333,0.9130434783,0.8231884058,0.84,13,0.3421052632,1.1818181818,0.7857142857,0.7534246575,0.9362318841,0.9127648386,0.1223659011,0.1578870922,not_suppressed,interpretable_under_predeclared_event_rule
nested_development_oof,Q13_Faculty,official_college,College of Health Sciences,Standard TabPFN v2,True,True,0.1172137864,0.5464908433,40.0,14.0,26.0,20.0,6.0,10.0,4.0,0.5,0.6,0.4,0.2857142857,0.7692307692,0.5274725275,0.6666666667,10,0.25,2.5,0.3333333333,0.303030303,0.6703296703,0.4642247409,0.2395414307,0.1732320817,not_suppressed,interpretable_under_predeclared_event_rule
nested_development_oof,Q13_Faculty,official_college,College of Humanities and Social Sciences,Standard TabPFN v2,True,True,0.3495702375,0.6299553536,109.0,45.0,64.0,54.0,10.0,23.0,22.0,0.5,0.6972477064,0.6875,0.4888888889,0.84375,0.6663194444,0.7012987013,32,0.2935779817,1.4545454545,0.5714285714,0.5188679245,0.7348958333,0.7004442383,0.1991411804,0.0535351244,not_suppressed,interpretable_under_predeclared_event_rule
