profile_type,variable,false_negative_n_observed,true_positive_n_observed,false_negative_mean,true_positive_mean,standardized_mean_difference_fn_minus_tp,hedges_g_bootstrap_ci_low,hedges_g_bootstrap_ci_high,hedges_g_familywise_ci_low,hedges_g_familywise_ci_high,familywise_method,analysis_role,group
numeric_feature,Q1_Academic_Performance,9,23,2.8888888889,2.4782608696,0.6169537617,-0.0901347546,1.4760264028,-0.3500199232,1.922969695,Bonferroni bootstrap interval across 13 numeric contrasts,exploratory aggregate failure-profile evidence,
numeric_feature,Q2_Attendance,9,23,2.6666666667,1.8260869565,0.9723361579,0.2866013159,1.8832981487,-0.0447890159,2.4183488725,Bonferroni bootstrap interval across 13 numeric contrasts,exploratory aggregate failure-profile evidence,
numeric_feature,Q3_Assignments,9,22,2.8888888889,2.5909090909,0.4473014156,-0.0643967845,0.9211948887,-0.482135657,1.0886111995,Bonferroni bootstrap interval across 13 numeric contrasts,exploratory aggregate failure-profile evidence,
numeric_feature,Q4_Repeating,9,23,0.1111111111,0.2608695652,-0.3465431981,-0.8926166306,0.3695721635,-1.1793895193,0.7789782166,Bonferroni bootstrap interval across 13 numeric contrasts,exploratory aggregate failure-profile evidence,
numeric_feature,Q6_PHQ2_Interest,9,23,0.4444444444,1.6086956522,-1.1406084788,-1.814039735,-0.6279836616,-2.2694476384,-0.3807084253,Bonferroni bootstrap interval across 13 numeric contrasts,exploratory aggregate failure-profile evidence,
numeric_feature,Q7_PHQ2_Depressed,9,23,0.1111111111,1.7826086957,-1.8689237454,-2.7011541799,-1.3489503606,-3.3802437157,-1.0860000524,Bonferroni bootstrap interval across 13 numeric contrasts,exploratory aggregate failure-profile evidence,
numeric_feature,Q8_GAD2_Nervous,9,23,0.6666666667,1.6956521739,-0.8812032126,-1.7891349119,-0.1682002458,-2.3167648565,0.121744166,Bonferroni bootstrap interval across 13 numeric contrasts,exploratory aggregate failure-profile evidence,
numeric_feature,Q9_GAD2_Worry,9,23,0.2222222222,1.7391304348,-1.7270901363,-2.3931516486,-1.2544799693,-2.797499481,-1.0809515439,Bonferroni bootstrap interval across 13 numeric contrasts,exploratory aggregate failure-profile evidence,
numeric_feature,Q10_Financial_Difficulty,9,23,0.6666666667,1.5217391304,-0.743153678,-1.6051737088,-0.0334013631,-2.0272176038,0.3409015876,Bonferroni bootstrap interval across 13 numeric contrasts,exploratory aggregate failure-profile evidence,
numeric_feature,Q11_Internet_Access,9,23,2.0,1.8260869565,0.1777001959,-0.5967840549,0.8404778179,-0.9946611034,1.1041620818,Bonferroni bootstrap interval across 13 numeric contrasts,exploratory aggregate failure-profile evidence,
numeric_feature,Q12_Outside_Responsibilities,9,23,0.5555555556,0.6956521739,-0.171189062,-1.0293918987,0.5961388948,-1.4220529797,0.9316277918,Bonferroni bootstrap interval across 13 numeric contrasts,exploratory aggregate failure-profile evidence,
numeric_feature,Q14_Year,9,23,1.8888888889,2.6956521739,-0.6831294935,-1.5845109704,0.0785080988,-2.0995708507,0.4081326114,Bonferroni bootstrap interval across 13 numeric contrasts,exploratory aggregate failure-profile evidence,
numeric_feature,Q16_Belonging,9,23,3.2222222222,2.347826087,1.0243086248,0.1020845351,2.3391807063,-0.2278025045,3.0372340782,Bonferroni bootstrap interval across 13 numeric contrasts,exploratory aggregate failure-profile evidence,
