feature,value,count,percent
Q1_Academic_Performance,0,8,1.9002375296912113
Q1_Academic_Performance,1,14,3.32541567695962
Q1_Academic_Performance,2,99,23.51543942992874
Q1_Academic_Performance,3,230,54.63182897862233
Q1_Academic_Performance,4,70,16.6270783847981
Q2_Attendance,0,17,4.038004750593824
Q2_Attendance,1,24,5.7007125890736345
Q2_Attendance,2,112,26.60332541567696
Q2_Attendance,3,268,63.657957244655584
Q3_Assignments,1.0,21,4.98812351543943
Q3_Assignments,2.0,74,17.577197149643705
Q3_Assignments,3.0,313,74.34679334916865
Q3_Assignments,Missing,13,3.0878859857482186
Q4_Repeating,0,382,90.73634204275534
Q4_Repeating,1,39,9.263657957244655
Q6_PHQ2_Interest,0,154,36.57957244655582
Q6_PHQ2_Interest,1,152,36.104513064133016
Q6_PHQ2_Interest,2,64,15.20190023752969
Q6_PHQ2_Interest,3,51,12.114014251781473
Q7_PHQ2_Depressed,0,183,43.46793349168646
Q7_PHQ2_Depressed,1,137,32.541567695961994
Q7_PHQ2_Depressed,2,54,12.826603325415677
Q7_PHQ2_Depressed,3,47,11.163895486935868
Q8_GAD2_Nervous,0,184,43.705463182897866
Q8_GAD2_Nervous,1,146,34.679334916864605
Q8_GAD2_Nervous,2,45,10.688836104513063
Q8_GAD2_Nervous,3,46,10.926365795724466
Q9_GAD2_Worry,0,191,45.36817102137767
Q9_GAD2_Worry,1,140,33.2541567695962
Q9_GAD2_Worry,2,41,9.738717339667458
Q9_GAD2_Worry,3,49,11.63895486935867
Q10_Financial_Difficulty,0,156,37.05463182897862
Q10_Financial_Difficulty,1,116,27.553444180522565
Q10_Financial_Difficulty,2,106,25.17814726840855
Q10_Financial_Difficulty,3,43,10.21377672209026
Q11_Internet_Access,0,34,8.076009501187649
Q11_Internet_Access,1,97,23.040380047505938
Q11_Internet_Access,2,158,37.52969121140143
Q11_Internet_Access,3,132,31.35391923990499
Q12_Outside_Responsibilities,0,238,56.53206650831354
Q12_Outside_Responsibilities,1,119,28.26603325415677
Q12_Outside_Responsibilities,2,64,15.20190023752969
Q14_Year,1,116,27.553444180522565
Q14_Year,2,105,24.94061757719715
Q14_Year,3,74,17.577197149643705
Q14_Year,4,120,28.50356294536817
Q14_Year,5,6,1.4251781472684086
Q16_Belonging,0,3,0.7125890736342043
Q16_Belonging,1,12,2.8503562945368173
Q16_Belonging,2,125,29.69121140142518
Q16_Belonging,3,128,30.40380047505938
Q16_Belonging,4,153,36.342042755344416
