outer_fold,positive_importance_share_cutoff,is_declared_secondary_cutoff,selected_feature_count,selected_features_json,fallback_top_feature_used,analysis_role
1,0.025,False,13,"[""Q10_Financial_Difficulty"", ""Q11_Internet_Access"", ""Q12_Outside_Responsibilities"", ""Q13_Faculty"", ""Q14_Year"", ""Q16_Belonging"", ""Q1_Academic_Performance"", ""Q2_Attendance"", ""Q3_Assignments"", ""Q6_PHQ2_Interest"", ""Q7_PHQ2_Depressed"", ""Q8_GAD2_Nervous"", ""Q9_GAD2_Worry""]",False,secondary sensitivity only; primary analysis retains all prespecified predictors
2,0.025,False,12,"[""Q10_Financial_Difficulty"", ""Q11_Internet_Access"", ""Q14_Year"", ""Q16_Belonging"", ""Q1_Academic_Performance"", ""Q2_Attendance"", ""Q3_Assignments"", ""Q4_Repeating"", ""Q6_PHQ2_Interest"", ""Q7_PHQ2_Depressed"", ""Q8_GAD2_Nervous"", ""Q9_GAD2_Worry""]",False,secondary sensitivity only; primary analysis retains all prespecified predictors
3,0.025,False,12,"[""Q10_Financial_Difficulty"", ""Q11_Internet_Access"", ""Q12_Outside_Responsibilities"", ""Q13_Faculty"", ""Q16_Belonging"", ""Q2_Attendance"", ""Q3_Assignments"", ""Q4_Repeating"", ""Q6_PHQ2_Interest"", ""Q7_PHQ2_Depressed"", ""Q8_GAD2_Nervous"", ""Q9_GAD2_Worry""]",False,secondary sensitivity only; primary analysis retains all prespecified predictors
4,0.025,False,10,"[""Q11_Internet_Access"", ""Q13_Faculty"", ""Q1_Academic_Performance"", ""Q2_Attendance"", ""Q3_Assignments"", ""Q4_Repeating"", ""Q6_PHQ2_Interest"", ""Q7_PHQ2_Depressed"", ""Q8_GAD2_Nervous"", ""Q9_GAD2_Worry""]",False,secondary sensitivity only; primary analysis retains all prespecified predictors
5,0.025,False,9,"[""Q10_Financial_Difficulty"", ""Q11_Internet_Access"", ""Q16_Belonging"", ""Q2_Attendance"", ""Q3_Assignments"", ""Q4_Repeating"", ""Q6_PHQ2_Interest"", ""Q7_PHQ2_Depressed"", ""Q9_GAD2_Worry""]",False,secondary sensitivity only; primary analysis retains all prespecified predictors
6,0.025,False,10,"[""Q11_Internet_Access"", ""Q12_Outside_Responsibilities"", ""Q13_Faculty"", ""Q16_Belonging"", ""Q2_Attendance"", ""Q3_Assignments"", ""Q4_Repeating"", ""Q6_PHQ2_Interest"", ""Q7_PHQ2_Depressed"", ""Q9_GAD2_Worry""]",False,secondary sensitivity only; primary analysis retains all prespecified predictors
7,0.025,False,10,"[""Q10_Financial_Difficulty"", ""Q13_Faculty"", ""Q14_Year"", ""Q16_Belonging"", ""Q3_Assignments"", ""Q4_Repeating"", ""Q6_PHQ2_Interest"", ""Q7_PHQ2_Depressed"", ""Q8_GAD2_Nervous"", ""Q9_GAD2_Worry""]",False,secondary sensitivity only; primary analysis retains all prespecified predictors
8,0.025,False,12,"[""Q10_Financial_Difficulty"", ""Q11_Internet_Access"", ""Q12_Outside_Responsibilities"", ""Q13_Faculty"", ""Q16_Belonging"", ""Q1_Academic_Performance"", ""Q3_Assignments"", ""Q4_Repeating"", ""Q6_PHQ2_Interest"", ""Q7_PHQ2_Depressed"", ""Q8_GAD2_Nervous"", ""Q9_GAD2_Worry""]",False,secondary sensitivity only; primary analysis retains all prespecified predictors
9,0.025,False,13,"[""Q10_Financial_Difficulty"", ""Q11_Internet_Access"", ""Q12_Outside_Responsibilities"", ""Q13_Faculty"", ""Q16_Belonging"", ""Q1_Academic_Performance"", ""Q2_Attendance"", ""Q3_Assignments"", ""Q4_Repeating"", ""Q6_PHQ2_Interest"", ""Q7_PHQ2_Depressed"", ""Q8_GAD2_Nervous"", ""Q9_GAD2_Worry""]",False,secondary sensitivity only; primary analysis retains all prespecified predictors
10,0.025,False,12,"[""Q10_Financial_Difficulty"", ""Q11_Internet_Access"", ""Q12_Outside_Responsibilities"", ""Q13_Faculty"", ""Q14_Year"", ""Q16_Belonging"", ""Q2_Attendance"", ""Q3_Assignments"", ""Q6_PHQ2_Interest"", ""Q7_PHQ2_Depressed"", ""Q8_GAD2_Nervous"", ""Q9_GAD2_Worry""]",False,secondary sensitivity only; primary analysis retains all prespecified predictors
1,0.05,True,9,"[""Q10_Financial_Difficulty"", ""Q11_Internet_Access"", ""Q12_Outside_Responsibilities"", ""Q13_Faculty"", ""Q3_Assignments"", ""Q6_PHQ2_Interest"", ""Q7_PHQ2_Depressed"", ""Q8_GAD2_Nervous"", ""Q9_GAD2_Worry""]",False,secondary sensitivity only; primary analysis retains all prespecified predictors
2,0.05,True,8,"[""Q11_Internet_Access"", ""Q16_Belonging"", ""Q1_Academic_Performance"", ""Q4_Repeating"", ""Q6_PHQ2_Interest"", ""Q7_PHQ2_Depressed"", ""Q8_GAD2_Nervous"", ""Q9_GAD2_Worry""]",False,secondary sensitivity only; primary analysis retains all prespecified predictors
3,0.05,True,10,"[""Q10_Financial_Difficulty"", ""Q12_Outside_Responsibilities"", ""Q13_Faculty"", ""Q16_Belonging"", ""Q2_Attendance"", ""Q3_Assignments"", ""Q4_Repeating"", ""Q6_PHQ2_Interest"", ""Q7_PHQ2_Depressed"", ""Q9_GAD2_Worry""]",False,secondary sensitivity only; primary analysis retains all prespecified predictors
4,0.05,True,7,"[""Q1_Academic_Performance"", ""Q2_Attendance"", ""Q4_Repeating"", ""Q6_PHQ2_Interest"", ""Q7_PHQ2_Depressed"", ""Q8_GAD2_Nervous"", ""Q9_GAD2_Worry""]",False,secondary sensitivity only; primary analysis retains all prespecified predictors
5,0.05,True,8,"[""Q11_Internet_Access"", ""Q16_Belonging"", ""Q2_Attendance"", ""Q3_Assignments"", ""Q4_Repeating"", ""Q6_PHQ2_Interest"", ""Q7_PHQ2_Depressed"", ""Q9_GAD2_Worry""]",False,secondary sensitivity only; primary analysis retains all prespecified predictors
6,0.05,True,7,"[""Q13_Faculty"", ""Q16_Belonging"", ""Q3_Assignments"", ""Q4_Repeating"", ""Q6_PHQ2_Interest"", ""Q7_PHQ2_Depressed"", ""Q9_GAD2_Worry""]",False,secondary sensitivity only; primary analysis retains all prespecified predictors
7,0.05,True,5,"[""Q16_Belonging"", ""Q4_Repeating"", ""Q6_PHQ2_Interest"", ""Q7_PHQ2_Depressed"", ""Q9_GAD2_Worry""]",False,secondary sensitivity only; primary analysis retains all prespecified predictors
8,0.05,True,8,"[""Q10_Financial_Difficulty"", ""Q16_Belonging"", ""Q1_Academic_Performance"", ""Q4_Repeating"", ""Q6_PHQ2_Interest"", ""Q7_PHQ2_Depressed"", ""Q8_GAD2_Nervous"", ""Q9_GAD2_Worry""]",False,secondary sensitivity only; primary analysis retains all prespecified predictors
9,0.05,True,6,"[""Q13_Faculty"", ""Q2_Attendance"", ""Q4_Repeating"", ""Q6_PHQ2_Interest"", ""Q7_PHQ2_Depressed"", ""Q9_GAD2_Worry""]",False,secondary sensitivity only; primary analysis retains all prespecified predictors
10,0.05,True,7,"[""Q10_Financial_Difficulty"", ""Q13_Faculty"", ""Q14_Year"", ""Q2_Attendance"", ""Q7_PHQ2_Depressed"", ""Q8_GAD2_Nervous"", ""Q9_GAD2_Worry""]",False,secondary sensitivity only; primary analysis retains all prespecified predictors
1,0.1,False,2,"[""Q7_PHQ2_Depressed"", ""Q9_GAD2_Worry""]",False,secondary sensitivity only; primary analysis retains all prespecified predictors
2,0.1,False,3,"[""Q7_PHQ2_Depressed"", ""Q8_GAD2_Nervous"", ""Q9_GAD2_Worry""]",False,secondary sensitivity only; primary analysis retains all prespecified predictors
3,0.1,False,2,"[""Q7_PHQ2_Depressed"", ""Q9_GAD2_Worry""]",False,secondary sensitivity only; primary analysis retains all prespecified predictors
4,0.1,False,2,"[""Q1_Academic_Performance"", ""Q7_PHQ2_Depressed""]",False,secondary sensitivity only; primary analysis retains all prespecified predictors
