model,order,feature_i,feature_j,mean_signed_fsii,sd_signed_fsii,mean_abs_fsii,sd_abs_fsii,positive_direction_fraction,explained_students,signed_ci_low,signed_ci_high,direction,budget,explanation_scale,uncertainty_role,feature_i_construct,feature_j_construct,absolute_attribution_rank,candidate_interactions,presentation_rule
B-TabPFN K=1,2,Q7_PHQ2_Depressed,Q9_GAD2_Worry,-0.016177845,0.068003804,0.0565174249,0.0399677875,0.375,32,-0.0406958308,0.0083401409,uncertain_ci_crosses_zero,1024,positive_class_probability,descriptive unadjusted interval; not a significance test,Psychological distress,Psychological distress,1,91,ten largest mean absolute pairwise attributions; all 91 pairs retained in supplement
B-TabPFN K=1,2,Q7_PHQ2_Depressed,Q8_GAD2_Nervous,-0.0173905767,0.055170083,0.0493252079,0.029059712,0.34375,32,-0.0372815127,0.0025003594,uncertain_ci_crosses_zero,1024,positive_class_probability,descriptive unadjusted interval; not a significance test,Psychological distress,Psychological distress,2,91,ten largest mean absolute pairwise attributions; all 91 pairs retained in supplement
B-TabPFN K=1,2,Q6_PHQ2_Interest,Q7_PHQ2_Depressed,-0.0054318467,0.0526178408,0.0438242231,0.0285758245,0.5625,32,-0.0244026013,0.0135389079,uncertain_ci_crosses_zero,1024,positive_class_probability,descriptive unadjusted interval; not a significance test,Psychological distress,Psychological distress,3,91,ten largest mean absolute pairwise attributions; all 91 pairs retained in supplement
B-TabPFN K=1,2,Q8_GAD2_Nervous,Q9_GAD2_Worry,-0.0205368362,0.0470972148,0.0420508225,0.0287784954,0.3125,32,-0.0375171929,-0.0035564796,negative,1024,positive_class_probability,descriptive unadjusted interval; not a significance test,Psychological distress,Psychological distress,4,91,ten largest mean absolute pairwise attributions; all 91 pairs retained in supplement
B-TabPFN K=1,2,Q6_PHQ2_Interest,Q8_GAD2_Nervous,-0.0128940927,0.0321618826,0.0257809282,0.0228015501,0.34375,32,-0.0244896879,-0.0012984975,negative,1024,positive_class_probability,descriptive unadjusted interval; not a significance test,Psychological distress,Psychological distress,5,91,ten largest mean absolute pairwise attributions; all 91 pairs retained in supplement
B-TabPFN K=1,2,Q6_PHQ2_Interest,Q9_GAD2_Worry,-0.0074619627,0.0369526208,0.0254441025,0.0274715659,0.59375,32,-0.0207848032,0.0058608778,uncertain_ci_crosses_zero,1024,positive_class_probability,descriptive unadjusted interval; not a significance test,Psychological distress,Psychological distress,6,91,ten largest mean absolute pairwise attributions; all 91 pairs retained in supplement
B-TabPFN K=1,2,Q2_Attendance,Q3_Assignments,-0.008367778,0.0209079934,0.0166554972,0.014935476,0.34375,32,-0.0159059135,-0.0008296426,negative,1024,positive_class_probability,descriptive unadjusted interval; not a significance test,Academic engagement and integration,Academic engagement and integration,7,91,ten largest mean absolute pairwise attributions; all 91 pairs retained in supplement
B-TabPFN K=1,2,Q4_Repeating,Q6_PHQ2_Interest,-0.0006019423,0.0270969519,0.0157938052,0.0218432587,0.40625,32,-0.0103714352,0.0091675507,uncertain_ci_crosses_zero,1024,positive_class_probability,descriptive unadjusted interval; not a significance test,Academic progression,Psychological distress,8,91,ten largest mean absolute pairwise attributions; all 91 pairs retained in supplement
B-TabPFN K=1,2,Q2_Attendance,Q7_PHQ2_Depressed,-0.0045221756,0.0166594689,0.0148965978,0.0083415039,0.46875,32,-0.0105285546,0.0014842035,uncertain_ci_crosses_zero,1024,positive_class_probability,descriptive unadjusted interval; not a significance test,Academic engagement and integration,Psychological distress,9,91,ten largest mean absolute pairwise attributions; all 91 pairs retained in supplement
B-TabPFN K=1,2,Q3_Assignments,Q4_Repeating,0.0006390818,0.0162558527,0.0133030954,0.0090550105,0.625,32,-0.0052217781,0.0064999417,uncertain_ci_crosses_zero,1024,positive_class_probability,descriptive unadjusted interval; not a significance test,Academic engagement and integration,Academic progression,10,91,ten largest mean absolute pairwise attributions; all 91 pairs retained in supplement
