fold,model,selected_features_json,selected_feature_count,n,positive,negative,tn,fp,fn,tp,threshold,accuracy,precision,recall,specificity,balanced_accuracy,npv,referral_n,referral_rate,reviews_per_detected_positive,f1,f2,auc_roc,average_precision,brier,ece_10
1,Standard TabPFN training-selected features,"[""Q10_Financial_Difficulty"", ""Q11_Internet_Access"", ""Q12_Outside_Responsibilities"", ""Q13_Faculty"", ""Q3_Assignments"", ""Q6_PHQ2_Interest"", ""Q7_PHQ2_Depressed"", ""Q8_GAD2_Nervous"", ""Q9_GAD2_Worry""]",9,34,13,21,18,3,6,7,0.5,0.7352941176470589,0.7,0.5384615384615384,0.8571428571428571,0.6978021978021978,0.75,10,0.29411764705882354,1.4285714285714286,0.6086956521739131,0.5645161290322581,0.7692307692307693,0.7222624114526948,0.1872060751385501,0.0647264613824732
1,B-TabPFN training-selected features,"[""Q10_Financial_Difficulty"", ""Q11_Internet_Access"", ""Q12_Outside_Responsibilities"", ""Q13_Faculty"", ""Q3_Assignments"", ""Q6_PHQ2_Interest"", ""Q7_PHQ2_Depressed"", ""Q8_GAD2_Nervous"", ""Q9_GAD2_Worry""]",9,34,13,21,14,7,4,9,0.5,0.6764705882352942,0.5625,0.6923076923076923,0.6666666666666666,0.6794871794871795,0.7777777777777778,16,0.47058823529411764,1.7777777777777777,0.6206896551724138,0.6617647058823529,0.7655677655677656,0.6772512687492445,0.19837132046567205,0.09249148561674006
2,Standard TabPFN training-selected features,"[""Q11_Internet_Access"", ""Q16_Belonging"", ""Q1_Academic_Performance"", ""Q4_Repeating"", ""Q6_PHQ2_Interest"", ""Q7_PHQ2_Depressed"", ""Q8_GAD2_Nervous"", ""Q9_GAD2_Worry""]",8,34,13,21,18,3,8,5,0.5,0.6764705882352942,0.625,0.38461538461538464,0.8571428571428571,0.6208791208791209,0.6923076923076923,8,0.23529411764705882,1.6,0.47619047619047616,0.4166666666666667,0.673992673992674,0.6129342502645669,0.2180379739956861,0.13524420362185027
2,B-TabPFN training-selected features,"[""Q11_Internet_Access"", ""Q16_Belonging"", ""Q1_Academic_Performance"", ""Q4_Repeating"", ""Q6_PHQ2_Interest"", ""Q7_PHQ2_Depressed"", ""Q8_GAD2_Nervous"", ""Q9_GAD2_Worry""]",8,34,13,21,10,11,4,9,0.5,0.5588235294117647,0.45,0.6923076923076923,0.47619047619047616,0.5842490842490842,0.7142857142857143,20,0.5882352941176471,2.2222222222222223,0.5454545454545454,0.625,0.6300366300366301,0.5907685206949913,0.2421764051188399,0.13850623281563032
3,Standard TabPFN training-selected features,"[""Q10_Financial_Difficulty"", ""Q12_Outside_Responsibilities"", ""Q13_Faculty"", ""Q16_Belonging"", ""Q2_Attendance"", ""Q3_Assignments"", ""Q4_Repeating"", ""Q6_PHQ2_Interest"", ""Q7_PHQ2_Depressed"", ""Q9_GAD2_Worry""]",10,34,13,21,14,7,9,4,0.5,0.5294117647058824,0.36363636363636365,0.3076923076923077,0.6666666666666666,0.48717948717948717,0.6086956521739131,11,0.3235294117647059,2.75,0.3333333333333333,0.31746031746031744,0.5604395604395604,0.4451499934671911,0.26291694620556005,0.21953912408036344
3,B-TabPFN training-selected features,"[""Q10_Financial_Difficulty"", ""Q12_Outside_Responsibilities"", ""Q13_Faculty"", ""Q16_Belonging"", ""Q2_Attendance"", ""Q3_Assignments"", ""Q4_Repeating"", ""Q6_PHQ2_Interest"", ""Q7_PHQ2_Depressed"", ""Q9_GAD2_Worry""]",10,34,13,21,9,12,7,6,0.5,0.4411764705882353,0.3333333333333333,0.46153846153846156,0.42857142857142855,0.44505494505494503,0.5625,18,0.5294117647058824,3.0,0.3870967741935484,0.42857142857142855,0.5567765567765568,0.4415656909438965,0.2634844704708001,0.2821538610493436
4,Standard TabPFN training-selected features,"[""Q1_Academic_Performance"", ""Q2_Attendance"", ""Q4_Repeating"", ""Q6_PHQ2_Interest"", ""Q7_PHQ2_Depressed"", ""Q8_GAD2_Nervous"", ""Q9_GAD2_Worry""]",7,34,13,21,17,4,10,3,0.5,0.5882352941176471,0.42857142857142855,0.23076923076923078,0.8095238095238095,0.5201465201465202,0.6296296296296297,7,0.20588235294117646,2.3333333333333335,0.3,0.2542372881355932,0.6556776556776557,0.48946751254443566,0.2510074450946022,0.19780050700201707
4,B-TabPFN training-selected features,"[""Q1_Academic_Performance"", ""Q2_Attendance"", ""Q4_Repeating"", ""Q6_PHQ2_Interest"", ""Q7_PHQ2_Depressed"", ""Q8_GAD2_Nervous"", ""Q9_GAD2_Worry""]",7,34,13,21,15,6,7,6,0.5,0.6176470588235294,0.5,0.46153846153846156,0.7142857142857143,0.5879120879120879,0.6818181818181818,12,0.35294117647058826,2.0,0.48,0.46875,0.652014652014652,0.4850145580914812,0.24689409978772958,0.15323642991921482
5,Standard TabPFN training-selected features,"[""Q11_Internet_Access"", ""Q16_Belonging"", ""Q2_Attendance"", ""Q3_Assignments"", ""Q4_Repeating"", ""Q6_PHQ2_Interest"", ""Q7_PHQ2_Depressed"", ""Q9_GAD2_Worry""]",8,34,13,21,18,3,7,6,0.5,0.7058823529411765,0.6666666666666666,0.46153846153846156,0.8571428571428571,0.6593406593406593,0.72,9,0.2647058823529412,1.5,0.5454545454545454,0.4918032786885246,0.7564102564102565,0.6828790490555197,0.1952085830665684,0.1908811374622233
5,B-TabPFN training-selected features,"[""Q11_Internet_Access"", ""Q16_Belonging"", ""Q2_Attendance"", ""Q3_Assignments"", ""Q4_Repeating"", ""Q6_PHQ2_Interest"", ""Q7_PHQ2_Depressed"", ""Q9_GAD2_Worry""]",8,34,13,21,15,6,4,9,0.5,0.7058823529411765,0.6,0.6923076923076923,0.7142857142857143,0.7032967032967032,0.7894736842105263,15,0.4411764705882353,1.6666666666666667,0.6428571428571429,0.6716417910447762,0.7637362637362638,0.724170663424057,0.19594968754211337,0.14479777699007707
