outer_fold,inner_fold,K,n,positive,negative,tn,fp,fn,tp,threshold,accuracy,precision,recall,specificity,balanced_accuracy,npv,referral_n,referral_rate,reviews_per_detected_positive,f1,f2,auc_roc,average_precision,brier,ece_10
1,1,1,61,23,38,31,7,5,18,0.5,0.8032786885,0.72,0.7826086957,0.8157894737,0.7991990847,0.8611111111,25,0.4098360656,1.3888888889,0.75,0.7692307692,0.847826087,0.780499763,0.1677179943,0.1944304343
1,1,5,61,23,38,30,8,6,17,0.5,0.7704918033,0.68,0.7391304348,0.7894736842,0.7643020595,0.8333333333,25,0.4098360656,1.4705882353,0.7083333333,0.7264957265,0.8203661327,0.7437864558,0.1767022758,0.1633345727
1,1,10,61,23,38,30,8,7,16,0.5,0.7540983607,0.6666666667,0.6956521739,0.7894736842,0.7425629291,0.8108108108,24,0.393442623,1.5,0.6808510638,0.6896551724,0.8180778032,0.7426870895,0.1762823079,0.159155467
1,1,15,61,23,38,30,8,8,15,0.5,0.737704918,0.652173913,0.652173913,0.7894736842,0.7208237986,0.7894736842,23,0.3770491803,1.5333333333,0.652173913,0.652173913,0.8123569794,0.7329151212,0.1792704252,0.1441813773
1,1,20,61,23,38,30,8,8,15,0.5,0.737704918,0.652173913,0.652173913,0.7894736842,0.7208237986,0.7894736842,23,0.3770491803,1.5333333333,0.652173913,0.652173913,0.8066361556,0.7246353568,0.1801333273,0.1428101077
1,2,1,61,23,38,20,18,5,18,0.5,0.6229508197,0.5,0.7826086957,0.5263157895,0.6544622426,0.8,36,0.5901639344,2.0,0.6101694915,0.703125,0.7151029748,0.5964639474,0.2266866116,0.156468258
1,2,5,61,23,38,22,16,5,18,0.5,0.6557377049,0.5294117647,0.7826086957,0.5789473684,0.680778032,0.8148148148,34,0.5573770492,1.8888888889,0.6315789474,0.7142857143,0.7105263158,0.6145791783,0.2270014766,0.2146892943
1,2,10,61,23,38,21,17,6,17,0.5,0.6229508197,0.5,0.7391304348,0.5526315789,0.6458810069,0.7777777778,34,0.5573770492,2.0,0.5964912281,0.6746031746,0.7036613272,0.6106708608,0.2307608338,0.201884781
1,2,15,61,23,38,22,16,6,17,0.5,0.6393442623,0.5151515152,0.7391304348,0.5789473684,0.6590389016,0.7857142857,33,0.5409836066,1.9411764706,0.6071428571,0.68,0.7116704805,0.6381145311,0.2289777184,0.2311746412
1,2,20,61,23,38,22,16,6,17,0.5,0.6393442623,0.5151515152,0.7391304348,0.5789473684,0.6590389016,0.7857142857,33,0.5409836066,1.9411764706,0.6071428571,0.68,0.7116704805,0.6462154785,0.2273340959,0.2148236141
1,3,1,60,22,38,24,14,8,14,0.5,0.6333333333,0.5,0.6363636364,0.6315789474,0.6339712919,0.75,28,0.4666666667,2.0,0.56,0.6034482759,0.6590909091,0.5471886378,0.2344476127,0.1440556486
1,3,5,60,22,38,24,14,10,12,0.5,0.6,0.4615384615,0.5454545455,0.6315789474,0.5885167464,0.7058823529,26,0.4333333333,2.1666666667,0.5,0.5263157895,0.6674641148,0.5490518971,0.2358390241,0.1421503156
1,3,10,60,22,38,24,14,10,12,0.5,0.6,0.4615384615,0.5454545455,0.6315789474,0.5885167464,0.7058823529,26,0.4333333333,2.1666666667,0.5,0.5263157895,0.6626794258,0.5325410929,0.2398858476,0.1447403016
1,3,15,60,22,38,24,14,10,12,0.5,0.6,0.4615384615,0.5454545455,0.6315789474,0.5885167464,0.7058823529,26,0.4333333333,2.1666666667,0.5,0.5263157895,0.6638755981,0.5330076523,0.2397389059,0.1445715375
1,3,20,60,22,38,24,14,10,12,0.5,0.6,0.4615384615,0.5454545455,0.6315789474,0.5885167464,0.7058823529,26,0.4333333333,2.1666666667,0.5,0.5263157895,0.6638755981,0.5348386155,0.2390226915,0.1443813259
1,4,1,60,23,37,29,8,5,18,0.5,0.7833333333,0.6923076923,0.7826086957,0.7837837838,0.7831962397,0.8529411765,26,0.4333333333,1.4444444444,0.7346938776,0.7627118644,0.8507638073,0.7740481716,0.1775120179,0.1920270589
1,4,5,60,23,37,28,9,5,18,0.5,0.7666666667,0.6666666667,0.7826086957,0.7567567568,0.7696827262,0.8484848485,27,0.45,1.5,0.72,0.756302521,0.8331374853,0.7538811943,0.1791384095,0.1629769916
