model,target,bin_left,bin_right,bin_midpoint,count
B-TabPFN K=1,0,0.0,0.1,0.05,0
B-TabPFN K=1,0,0.1,0.2,0.15000000000000002,8
B-TabPFN K=1,0,0.2,0.30000000000000004,0.25,14
B-TabPFN K=1,0,0.30000000000000004,0.4,0.35000000000000003,8
B-TabPFN K=1,0,0.4,0.5,0.45,8
B-TabPFN K=1,0,0.5,0.6000000000000001,0.55,2
B-TabPFN K=1,0,0.6000000000000001,0.7000000000000001,0.6500000000000001,4
B-TabPFN K=1,0,0.7000000000000001,0.8,0.75,3
B-TabPFN K=1,0,0.8,0.9,0.8500000000000001,4
B-TabPFN K=1,0,0.9,1.0,0.95,2
B-TabPFN K=1,1,0.0,0.1,0.05,0
B-TabPFN K=1,1,0.1,0.2,0.15000000000000002,1
B-TabPFN K=1,1,0.2,0.30000000000000004,0.25,4
B-TabPFN K=1,1,0.30000000000000004,0.4,0.35000000000000003,2
B-TabPFN K=1,1,0.4,0.5,0.45,2
B-TabPFN K=1,1,0.5,0.6000000000000001,0.55,3
B-TabPFN K=1,1,0.6000000000000001,0.7000000000000001,0.6500000000000001,6
B-TabPFN K=1,1,0.7000000000000001,0.8,0.75,4
B-TabPFN K=1,1,0.8,0.9,0.8500000000000001,9
B-TabPFN K=1,1,0.9,1.0,0.95,1
Standard TabPFN v2,0,0.0,0.1,0.05,2
Standard TabPFN v2,0,0.1,0.2,0.15000000000000002,21
Standard TabPFN v2,0,0.2,0.30000000000000004,0.25,9
Standard TabPFN v2,0,0.30000000000000004,0.4,0.35000000000000003,7
Standard TabPFN v2,0,0.4,0.5,0.45,4
Standard TabPFN v2,0,0.5,0.6000000000000001,0.55,1
Standard TabPFN v2,0,0.6000000000000001,0.7000000000000001,0.6500000000000001,3
Standard TabPFN v2,0,0.7000000000000001,0.8,0.75,6
Standard TabPFN v2,0,0.8,0.9,0.8500000000000001,0
Standard TabPFN v2,0,0.9,1.0,0.95,0
Standard TabPFN v2,1,0.0,0.1,0.05,1
Standard TabPFN v2,1,0.1,0.2,0.15000000000000002,4
Standard TabPFN v2,1,0.2,0.30000000000000004,0.25,2
Standard TabPFN v2,1,0.30000000000000004,0.4,0.35000000000000003,2
Standard TabPFN v2,1,0.4,0.5,0.45,4
Standard TabPFN v2,1,0.5,0.6000000000000001,0.55,4
Standard TabPFN v2,1,0.6000000000000001,0.7000000000000001,0.6500000000000001,4
Standard TabPFN v2,1,0.7000000000000001,0.8,0.75,7
Standard TabPFN v2,1,0.8,0.9,0.8500000000000001,4
Standard TabPFN v2,1,0.9,1.0,0.95,0
