seed,partition,overlap_note,model,n,positive,negative,tn,fp,fn,tp,threshold,accuracy,precision,recall,specificity,balanced_accuracy,npv,referral_n,referral_rate,reviews_per_detected_positive,f1,f2,auc_roc,average_precision,brier,ece_10
1,secondary_random_split_sensitivity,"splits overlap; descriptive sensitivity, not independent replication",Standard TabPFN v2,85,32,53,41,12,16,16,0.5,0.6705882352941176,0.5714285714285714,0.5,0.7735849056603774,0.6367924528301887,0.7192982456140351,28,0.32941176470588235,1.75,0.5333333333333333,0.5128205128205128,0.7122641509433962,0.6189233405275486,0.21166694053102203,0.12942933913539434
1,secondary_random_split_sensitivity,"splits overlap; descriptive sensitivity, not independent replication",B-TabPFN K=1,85,32,53,38,15,11,21,0.5,0.6941176470588235,0.5833333333333334,0.65625,0.7169811320754716,0.6866155660377358,0.7755102040816326,36,0.4235294117647059,1.7142857142857142,0.6176470588235294,0.6402439024390244,0.7051886792452831,0.620480987379209,0.22921389263671457,0.185470727261375
7,secondary_random_split_sensitivity,"splits overlap; descriptive sensitivity, not independent replication",Standard TabPFN v2,85,32,53,47,6,15,17,0.5,0.7529411764705882,0.7391304347826086,0.53125,0.8867924528301887,0.7090212264150944,0.7580645161290323,23,0.27058823529411763,1.3529411764705883,0.6181818181818182,0.5629139072847682,0.8405070754716981,0.7142539733806939,0.1665724097280354,0.14421230607173022
7,secondary_random_split_sensitivity,"splits overlap; descriptive sensitivity, not independent replication",B-TabPFN K=1,85,32,53,46,7,8,24,0.5,0.8235294117647058,0.7741935483870968,0.75,0.8679245283018868,0.8089622641509434,0.8518518518518519,31,0.36470588235294116,1.2916666666666667,0.7619047619047619,0.7547169811320755,0.8378537735849058,0.7124185258939075,0.169753137136137,0.16306160180007712
21,secondary_random_split_sensitivity,"splits overlap; descriptive sensitivity, not independent replication",Standard TabPFN v2,85,32,53,48,5,18,14,0.5,0.7294117647058823,0.7368421052631579,0.4375,0.9056603773584906,0.6715801886792453,0.7272727272727273,19,0.2235294117647059,1.3571428571428572,0.5490196078431373,0.47619047619047616,0.7965801886792453,0.7312548529965224,0.17595558029197841,0.062002295869238236
21,secondary_random_split_sensitivity,"splits overlap; descriptive sensitivity, not independent replication",B-TabPFN K=1,85,32,53,42,11,10,22,0.5,0.7529411764705882,0.6666666666666666,0.6875,0.7924528301886793,0.7399764150943396,0.8076923076923077,33,0.38823529411764707,1.5,0.676923076923077,0.6832298136645962,0.7992334905660378,0.7349809569646716,0.1836804722781126,0.13066277696805842
42,secondary_random_split_sensitivity,"splits overlap; descriptive sensitivity, not independent replication",Standard TabPFN v2,85,32,53,43,10,13,19,0.5,0.7294117647058823,0.6551724137931034,0.59375,0.8113207547169812,0.7025353773584906,0.7678571428571429,29,0.3411764705882353,1.5263157894736843,0.6229508196721312,0.6050955414012739,0.7458726415094339,0.6536467969563198,0.19102874064196806,0.09749965702786166
42,secondary_random_split_sensitivity,"splits overlap; descriptive sensitivity, not independent replication",B-TabPFN K=1,85,32,53,38,15,9,23,0.5,0.7176470588235294,0.6052631578947368,0.71875,0.7169811320754716,0.7178655660377358,0.8085106382978723,38,0.4470588235294118,1.6521739130434783,0.6571428571428571,0.6927710843373494,0.742629716981132,0.6179383669316747,0.21108601782869701,0.12664767977069408
99,secondary_random_split_sensitivity,"splits overlap; descriptive sensitivity, not independent replication",Standard TabPFN v2,85,32,53,45,8,19,13,0.5,0.6823529411764706,0.6190476190476191,0.40625,0.8490566037735849,0.6276533018867925,0.703125,21,0.24705882352941178,1.6153846153846154,0.49056603773584906,0.436241610738255,0.7446933962264151,0.6614079765795247,0.19975464243427823,0.08705303055398604
99,secondary_random_split_sensitivity,"splits overlap; descriptive sensitivity, not independent replication",B-TabPFN K=1,85,32,53,40,13,13,19,0.5,0.6941176470588235,0.59375,0.59375,0.7547169811320755,0.6742334905660378,0.7547169811320755,32,0.3764705882352941,1.6842105263157894,0.59375,0.59375,0.7443985849056604,0.6685052855671618,0.20873407647232947,0.14923277146676006
