model,n,positive,negative,tn,fp,fn,tp,threshold,accuracy,precision,recall,specificity,balanced_accuracy,npv,referral_n,referral_rate,reviews_per_detected_positive,f1,f2,auc_roc,average_precision,brier,ece_10
Standard TabPFN v2,336,127,209,0,209,0,127,0.01,0.3779761905,0.3779761905,1.0,0.0,0.5,,336,1.0,2.6456692913,0.5485961123,0.7523696682,0.7525336247,0.6394063959,0.1918938649,0.0547169641
Standard TabPFN v2,336,127,209,0,209,0,127,0.02,0.3779761905,0.3779761905,1.0,0.0,0.5,,336,1.0,2.6456692913,0.5485961123,0.7523696682,0.7525336247,0.6394063959,0.1918938649,0.0547169641
Standard TabPFN v2,336,127,209,0,209,0,127,0.03,0.3779761905,0.3779761905,1.0,0.0,0.5,,336,1.0,2.6456692913,0.5485961123,0.7523696682,0.7525336247,0.6394063959,0.1918938649,0.0547169641
Standard TabPFN v2,336,127,209,0,209,0,127,0.04,0.3779761905,0.3779761905,1.0,0.0,0.5,,336,1.0,2.6456692913,0.5485961123,0.7523696682,0.7525336247,0.6394063959,0.1918938649,0.0547169641
Standard TabPFN v2,336,127,209,0,209,0,127,0.05,0.3779761905,0.3779761905,1.0,0.0,0.5,,336,1.0,2.6456692913,0.5485961123,0.7523696682,0.7525336247,0.6394063959,0.1918938649,0.0547169641
Standard TabPFN v2,336,127,209,0,209,0,127,0.06,0.3779761905,0.3779761905,1.0,0.0,0.5,,336,1.0,2.6456692913,0.5485961123,0.7523696682,0.7525336247,0.6394063959,0.1918938649,0.0547169641
Standard TabPFN v2,336,127,209,0,209,0,127,0.07,0.3779761905,0.3779761905,1.0,0.0,0.5,,336,1.0,2.6456692913,0.5485961123,0.7523696682,0.7525336247,0.6394063959,0.1918938649,0.0547169641
Standard TabPFN v2,336,127,209,0,209,0,127,0.08,0.3779761905,0.3779761905,1.0,0.0,0.5,,336,1.0,2.6456692913,0.5485961123,0.7523696682,0.7525336247,0.6394063959,0.1918938649,0.0547169641
Standard TabPFN v2,336,127,209,1,208,0,127,0.09,0.380952381,0.3791044776,1.0,0.004784689,0.5023923445,1.0,335,0.9970238095,2.6377952756,0.5497835498,0.753262159,0.7525336247,0.6394063959,0.1918938649,0.0547169641
Standard TabPFN v2,336,127,209,7,202,2,125,0.1,0.3928571429,0.3822629969,0.9842519685,0.033492823,0.5088723957,0.7777777778,327,0.9732142857,2.616,0.550660793,0.748502994,0.7525336247,0.6394063959,0.1918938649,0.0547169641
Standard TabPFN v2,336,127,209,15,194,3,124,0.11,0.4136904762,0.3899371069,0.9763779528,0.0717703349,0.5240741438,0.8333333333,318,0.9464285714,2.564516129,0.5573033708,0.7506053269,0.7525336247,0.6394063959,0.1918938649,0.0547169641
Standard TabPFN v2,336,127,209,28,181,3,124,0.12,0.4523809524,0.406557377,0.9763779528,0.1339712919,0.5551746223,0.9032258065,305,0.9077380952,2.4596774194,0.5740740741,0.7626076261,0.7525336247,0.6394063959,0.1918938649,0.0547169641
Standard TabPFN v2,336,127,209,38,171,5,122,0.13,0.4761904762,0.4163822526,0.9606299213,0.1818181818,0.5712240515,0.8837209302,293,0.8720238095,2.4016393443,0.580952381,0.7615480649,0.7525336247,0.6394063959,0.1918938649,0.0547169641
Standard TabPFN v2,336,127,209,44,165,7,120,0.14,0.4880952381,0.4210526316,0.9448818898,0.2105263158,0.5777041028,0.862745098,285,0.8482142857,2.375,0.5825242718,0.7566204288,0.7525336247,0.6394063959,0.1918938649,0.0547169641
Standard TabPFN v2,336,127,209,53,156,9,118,0.15,0.5089285714,0.4306569343,0.9291338583,0.2535885167,0.5913611875,0.8548387097,274,0.8154761905,2.3220338983,0.5885286783,0.7544757033,0.7525336247,0.6394063959,0.1918938649,0.0547169641
Standard TabPFN v2,336,127,209,62,147,10,117,0.16,0.5327380952,0.4431818182,0.9212598425,0.2966507177,0.6089552801,0.8611111111,264,0.7857142857,2.2564102564,0.5984654731,0.7577720207,0.7525336247,0.6394063959,0.1918938649,0.0547169641
Standard TabPFN v2,336,127,209,70,139,11,116,0.17,0.5535714286,0.4549019608,0.9133858268,0.3349282297,0.6241570282,0.8641975309,255,0.7589285714,2.1982758621,0.6073298429,0.7601572739,0.7525336247,0.6394063959,0.1918938649,0.0547169641
Standard TabPFN v2,336,127,209,75,134,14,113,0.18,0.5595238095,0.4574898785,0.8897637795,0.3588516746,0.6243077271,0.8426966292,247,0.7351190476,2.185840708,0.6042780749,0.7483443709,0.7525336247,0.6394063959,0.1918938649,0.0547169641
Standard TabPFN v2,336,127,209,80,129,16,111,0.19,0.568452381,0.4625,0.874015748,0.3827751196,0.6283954338,0.8333333333,240,0.7142857143,2.1621621622,0.6049046322,0.7419786096,0.7525336247,0.6394063959,0.1918938649,0.0547169641
Standard TabPFN v2,336,127,209,85,124,16,111,0.2,0.5833333333,0.4723404255,0.874015748,0.4066985646,0.6403571563,0.8415841584,235,0.6994047619,2.1171171171,0.6132596685,0.7469717362,0.7525336247,0.6394063959,0.1918938649,0.0547169641
Standard TabPFN v2,336,127,209,91,118,17,110,0.21,0.5982142857,0.4824561404,0.8661417323,0.4354066986,0.6507742154,0.8425925926,228,0.6785714286,2.0727272727,0.6197183099,0.7472826087,0.7525336247,0.6394063959,0.1918938649,0.0547169641
Standard TabPFN v2,336,127,209,98,111,17,110,0.22,0.619047619,0.4977375566,0.8661417323,0.4688995215,0.6675206269,0.852173913,221,0.6577380952,2.0090909091,0.632183908,0.7544581619,0.7525336247,0.6394063959,0.1918938649,0.0547169641
Standard TabPFN v2,336,127,209,101,108,20,107,0.23,0.619047619,0.4976744186,0.842519685,0.4832535885,0.6628866368,0.8347107438,215,0.6398809524,2.0093457944,0.6257309942,0.7399723375,0.7525336247,0.6394063959,0.1918938649,0.0547169641
Standard TabPFN v2,336,127,209,105,104,21,106,0.24,0.6279761905,0.5047619048,0.8346456693,0.5023923445,0.6685190069,0.8333333333,210,0.625,1.9811320755,0.6290801187,0.7381615599,0.7525336247,0.6394063959,0.1918938649,0.0547169641
Standard TabPFN v2,336,127,209,109,100,23,104,0.25,0.6339285714,0.5098039216,0.8188976378,0.5215311005,0.6702143691,0.8257575758,204,0.6071428571,1.9615384615,0.6283987915,0.7303370787,0.7525336247,0.6394063959,0.1918938649,0.0547169641
Standard TabPFN v2,336,127,209,114,95,23,104,0.26,0.6488095238,0.5226130653,0.8188976378,0.5454545455,0.6821760916,0.8321167883,199,0.5922619048,1.9134615385,0.6380368098,0.7355021216,0.7525336247,0.6394063959,0.1918938649,0.0547169641
Standard TabPFN v2,336,127,209,116,93,24,103,0.27,0.6517857143,0.5255102041,0.811023622,0.5550239234,0.6830237727,0.8285714286,196,0.5833333333,1.9029126214,0.6377708978,0.7315340909,0.7525336247,0.6394063959,0.1918938649,0.0547169641
Standard TabPFN v2,336,127,209,124,85,29,98,0.28,0.6607142857,0.5355191257,0.7716535433,0.5933014354,0.6824774894,0.8104575163,183,0.5446428571,1.8673469388,0.6322580645,0.7091172214,0.7525336247,0.6394063959,0.1918938649,0.0547169641
Standard TabPFN v2,336,127,209,126,83,32,95,0.29,0.6577380952,0.5337078652,0.7480314961,0.6028708134,0.6754511547,0.7974683544,178,0.5297619048,1.8736842105,0.6229508197,0.6924198251,0.7525336247,0.6394063959,0.1918938649,0.0547169641
Standard TabPFN v2,336,127,209,128,81,33,94,0.3,0.6607142857,0.5371428571,0.7401574803,0.6124401914,0.6762988359,0.7950310559,175,0.5208333333,1.8617021277,0.6225165563,0.6881405564,0.7525336247,0.6394063959,0.1918938649,0.0547169641
Standard TabPFN v2,336,127,209,128,81,34,93,0.31,0.6577380952,0.5344827586,0.7322834646,0.6124401914,0.672361828,0.7901234568,174,0.5178571429,1.8709677419,0.6179401993,0.6818181818,0.7525336247,0.6394063959,0.1918938649,0.0547169641
Standard TabPFN v2,336,127,209,133,76,34,93,0.32,0.6726190476,0.550295858,0.7322834646,0.6363636364,0.6843235505,0.7964071856,169,0.5029761905,1.8172043011,0.6283783784,0.6868537666,0.7525336247,0.6394063959,0.1918938649,0.0547169641
Standard TabPFN v2,336,127,209,135,74,34,93,0.33,0.6785714286,0.5568862275,0.7322834646,0.6459330144,0.6891082395,0.798816568,167,0.4970238095,1.7956989247,0.6326530612,0.6888888889,0.7525336247,0.6394063959,0.1918938649,0.0547169641
Standard TabPFN v2,336,127,209,138,71,35,92,0.34,0.6845238095,0.5644171779,0.7244094488,0.6602870813,0.6923482651,0.7976878613,163,0.4851190476,1.7717391304,0.6344827586,0.6855439642,0.7525336247,0.6394063959,0.1918938649,0.0547169641
Standard TabPFN v2,336,127,209,143,66,36,91,0.35,0.6964285714,0.5796178344,0.7165354331,0.6842105263,0.7003729797,0.7988826816,157,0.4672619048,1.7252747253,0.6408450704,0.6842105263,0.7525336247,0.6394063959,0.1918938649,0.0547169641
Standard TabPFN v2,336,127,209,148,61,39,88,0.36,0.7023809524,0.5906040268,0.6929133858,0.7081339713,0.7005236786,0.7914438503,149,0.443452381,1.6931818182,0.6376811594,0.6697108067,0.7525336247,0.6394063959,0.1918938649,0.0547169641
Standard TabPFN v2,336,127,209,150,59,39,88,0.37,0.7083333333,0.5986394558,0.6929133858,0.7177033493,0.7053083676,0.7936507937,147,0.4375,1.6704545455,0.6423357664,0.6717557252,0.7525336247,0.6394063959,0.1918938649,0.0547169641
Standard TabPFN v2,336,127,209,151,58,39,88,0.38,0.7113095238,0.602739726,0.6929133858,0.7224880383,0.7077007121,0.7947368421,146,0.4345238095,1.6590909091,0.6446886447,0.6727828746,0.7525336247,0.6394063959,0.1918938649,0.0547169641
Standard TabPFN v2,336,127,209,154,55,44,83,0.39,0.7053571429,0.6014492754,0.6535433071,0.7368421053,0.6951927062,0.7777777778,138,0.4107142857,1.6626506024,0.6264150943,0.6424148607,0.7525336247,0.6394063959,0.1918938649,0.0547169641
Standard TabPFN v2,336,127,209,158,51,46,81,0.4,0.7113095238,0.6136363636,0.6377952756,0.7559808612,0.6968880684,0.7745098039,132,0.3928571429,1.6296296296,0.6254826255,0.6328125,0.7525336247,0.6394063959,0.1918938649,0.0547169641
Standard TabPFN v2,336,127,209,160,49,48,79,0.41,0.7113095238,0.6171875,0.6220472441,0.7655502392,0.6937987417,0.7692307692,128,0.380952381,1.6202531646,0.6196078431,0.6210691824,0.7525336247,0.6394063959,0.1918938649,0.0547169641
Standard TabPFN v2,336,127,209,161,48,48,79,0.42,0.7142857143,0.6220472441,0.6220472441,0.7703349282,0.6961910862,0.7703349282,127,0.3779761905,1.6075949367,0.6220472441,0.6220472441,0.7525336247,0.6394063959,0.1918938649,0.0547169641
Standard TabPFN v2,336,127,209,163,46,51,76,0.43,0.7113095238,0.6229508197,0.5984251969,0.7799043062,0.6891647515,0.761682243,122,0.3630952381,1.6052631579,0.6104417671,0.6031746032,0.7525336247,0.6394063959,0.1918938649,0.0547169641
Standard TabPFN v2,336,127,209,165,44,52,75,0.44,0.7142857143,0.6302521008,0.5905511811,0.7894736842,0.6900124327,0.7603686636,119,0.3541666667,1.5866666667,0.6097560976,0.5980861244,0.7525336247,0.6394063959,0.1918938649,0.0547169641
Standard TabPFN v2,336,127,209,167,42,56,71,0.45,0.7083333333,0.6283185841,0.5590551181,0.7990430622,0.6790490902,0.7488789238,113,0.3363095238,1.5915492958,0.5916666667,0.5716586151,0.7525336247,0.6394063959,0.1918938649,0.0547169641
Standard TabPFN v2,336,127,209,169,40,58,69,0.46,0.7083333333,0.6330275229,0.5433070866,0.8086124402,0.6759597634,0.7444933921,109,0.3244047619,1.5797101449,0.5847457627,0.5591572123,0.7525336247,0.6394063959,0.1918938649,0.0547169641
Standard TabPFN v2,336,127,209,171,38,60,67,0.47,0.7083333333,0.6380952381,0.5275590551,0.8181818182,0.6728704366,0.7402597403,105,0.3125,1.5671641791,0.5775862069,0.5464926591,0.7525336247,0.6394063959,0.1918938649,0.0547169641
Standard TabPFN v2,336,127,209,172,37,60,67,0.48,0.7113095238,0.6442307692,0.5275590551,0.8229665072,0.6752627811,0.7413793103,104,0.3095238095,1.552238806,0.5800865801,0.5473856209,0.7525336247,0.6394063959,0.1918938649,0.0547169641
Standard TabPFN v2,336,127,209,174,35,61,66,0.49,0.7142857143,0.6534653465,0.5196850394,0.8325358852,0.6761104623,0.7404255319,101,0.3005952381,1.5303030303,0.5789473684,0.5418719212,0.7525336247,0.6394063959,0.1918938649,0.0547169641
Standard TabPFN v2,336,127,209,174,35,65,62,0.5,0.7023809524,0.6391752577,0.4881889764,0.8325358852,0.6603624308,0.7280334728,97,0.2886904762,1.564516129,0.5535714286,0.5123966942,0.7525336247,0.6394063959,0.1918938649,0.0547169641
Standard TabPFN v2,336,127,209,176,33,65,62,0.51,0.7083333333,0.6526315789,0.4881889764,0.8421052632,0.6651471198,0.7302904564,95,0.2827380952,1.5322580645,0.5585585586,0.5140961857,0.7525336247,0.6394063959,0.1918938649,0.0547169641
Standard TabPFN v2,336,127,209,176,33,66,61,0.52,0.7053571429,0.6489361702,0.4803149606,0.8421052632,0.6612101119,0.7272727273,94,0.2797619048,1.5409836066,0.5520361991,0.5066445183,0.7525336247,0.6394063959,0.1918938649,0.0547169641
Standard TabPFN v2,336,127,209,176,33,69,58,0.53,0.6964285714,0.6373626374,0.4566929134,0.8421052632,0.6493990883,0.7183673469,91,0.2708333333,1.5689655172,0.5321100917,0.4841402337,0.7525336247,0.6394063959,0.1918938649,0.0547169641
Standard TabPFN v2,336,127,209,181,28,73,54,0.54,0.6994047619,0.6585365854,0.4251968504,0.8660287081,0.6456127793,0.7125984252,82,0.244047619,1.5185185185,0.5167464115,0.4576271186,0.7525336247,0.6394063959,0.1918938649,0.0547169641
Standard TabPFN v2,336,127,209,183,26,76,51,0.55,0.6964285714,0.6623376623,0.4015748031,0.8755980861,0.6385864446,0.7065637066,77,0.2291666667,1.5098039216,0.5,0.4358974359,0.7525336247,0.6394063959,0.1918938649,0.0547169641
Standard TabPFN v2,336,127,209,184,25,77,50,0.56,0.6964285714,0.6666666667,0.3937007874,0.8803827751,0.6370417813,0.7049808429,75,0.2232142857,1.5,0.495049505,0.4288164666,0.7525336247,0.6394063959,0.1918938649,0.0547169641
Standard TabPFN v2,336,127,209,186,23,77,50,0.57,0.7023809524,0.6849315068,0.3937007874,0.8899521531,0.6418264703,0.7072243346,73,0.2172619048,1.46,0.5,0.430292599,0.7525336247,0.6394063959,0.1918938649,0.0547169641
Standard TabPFN v2,336,127,209,187,22,78,49,0.58,0.7023809524,0.6901408451,0.3858267717,0.8947368421,0.6402818069,0.7056603774,71,0.2113095238,1.4489795918,0.4949494949,0.4231433506,0.7525336247,0.6394063959,0.1918938649,0.0547169641
