analysis,design,fold,seed,K,requested_minority_prevalence,realized_minority_prevalence,context_n,context_minority_n,context_majority_n,n,positive,negative,tn,fp,fn,tp,threshold,accuracy,precision,recall,specificity,balanced_accuracy,npv,referral_n,referral_rate,reviews_per_detected_positive,f1,f2,auc_roc,average_precision,brier,ece_10,balance
context_size_balance_by_k,balanced_50,1,1,1,0.5,0.5,228,114,114,34,13,21,16,5,3,10,0.5,0.7647058823529411,0.6666666666666666,0.7692307692307693,0.7619047619047619,0.7655677655677655,0.8421052631578947,15,0.4411764705882353,1.5,0.7142857142857143,0.746268656716418,0.8461538461538463,0.8132607732286636,0.1688805713454193,0.11011129310902429,balanced_50
context_size_balance_by_k,balanced_50,1,1,20,0.5,0.5,228,114,114,34,13,21,15,6,3,10,0.5,0.7352941176470589,0.625,0.7692307692307693,0.7142857142857143,0.7417582417582418,0.8333333333333334,16,0.47058823529411764,1.6,0.6896551724137931,0.7352941176470589,0.8241758241758242,0.7617438117438116,0.17395295892681942,0.14905144493369496,balanced_50
context_size_balance_by_k,balanced_50,1,7,1,0.5,0.5,228,114,114,34,13,21,16,5,3,10,0.5,0.7647058823529411,0.6666666666666666,0.7692307692307693,0.7619047619047619,0.7655677655677655,0.8421052631578947,15,0.4411764705882353,1.5,0.7142857142857143,0.746268656716418,0.8278388278388279,0.7794245640399486,0.17468919214669115,0.12394542247056958,balanced_50
context_size_balance_by_k,balanced_50,1,7,20,0.5,0.5,228,114,114,34,13,21,16,5,3,10,0.5,0.7647058823529411,0.6666666666666666,0.7692307692307693,0.7619047619047619,0.7655677655677655,0.8421052631578947,15,0.4411764705882353,1.5,0.7142857142857143,0.746268656716418,0.8351648351648352,0.7858765417588947,0.17059713987808423,0.12864768023000045,balanced_50
context_size_balance_by_k,balanced_50,1,21,1,0.5,0.5,228,114,114,34,13,21,15,6,4,9,0.5,0.7058823529411765,0.6,0.6923076923076923,0.7142857142857143,0.7032967032967032,0.7894736842105263,15,0.4411764705882353,1.6666666666666667,0.6428571428571429,0.6716417910447762,0.8351648351648352,0.788265819148172,0.16937182182488061,0.13532898312105854,balanced_50
context_size_balance_by_k,balanced_50,1,21,20,0.5,0.5,228,114,114,34,13,21,15,6,3,10,0.5,0.7352941176470589,0.625,0.7692307692307693,0.7142857142857143,0.7417582417582418,0.8333333333333334,16,0.47058823529411764,1.6,0.6896551724137931,0.7352941176470589,0.8351648351648352,0.788265819148172,0.17142211742559282,0.15174341683878617,balanced_50
context_size_balance_by_k,balanced_50,1,42,1,0.5,0.5,228,114,114,34,13,21,16,5,3,10,0.5,0.7647058823529411,0.6666666666666666,0.7692307692307693,0.7619047619047619,0.7655677655677655,0.8421052631578947,15,0.4411764705882353,1.5,0.7142857142857143,0.746268656716418,0.8498168498168498,0.8263042513042513,0.16290335719236396,0.16772027269882314,balanced_50
context_size_balance_by_k,balanced_50,1,42,20,0.5,0.5,228,114,114,34,13,21,16,5,3,10,0.5,0.7647058823529411,0.6666666666666666,0.7692307692307693,0.7619047619047619,0.7655677655677655,0.8421052631578947,15,0.4411764705882353,1.5,0.7142857142857143,0.746268656716418,0.8461538461538461,0.7961952379075503,0.16923037344099723,0.13815766879740884,balanced_50
context_size_balance_by_k,balanced_50,1,99,1,0.5,0.5,228,114,114,34,13,21,16,5,3,10,0.5,0.7647058823529411,0.6666666666666666,0.7692307692307693,0.7619047619047619,0.7655677655677655,0.8421052631578947,15,0.4411764705882353,1.5,0.7142857142857143,0.746268656716418,0.8315018315018315,0.7562062120885649,0.17457866042281034,0.14599335851038206,balanced_50
context_size_balance_by_k,balanced_50,1,99,20,0.5,0.5,228,114,114,34,13,21,15,6,3,10,0.5,0.7352941176470589,0.625,0.7692307692307693,0.7142857142857143,0.7417582417582418,0.8333333333333334,16,0.47058823529411764,1.6,0.6896551724137931,0.7352941176470589,0.8315018315018315,0.7704919263742793,0.17046473609419194,0.1331135332584381,balanced_50
context_size_balance_by_k,balanced_50,2,1,1,0.5,0.5,228,114,114,34,13,21,13,8,4,9,0.5,0.6470588235294118,0.5294117647058824,0.6923076923076923,0.6190476190476191,0.6556776556776557,0.7647058823529411,17,0.5,1.8888888888888888,0.6,0.6521739130434783,0.6666666666666666,0.6102711106287226,0.23049837270982132,0.262586598887163,balanced_50
context_size_balance_by_k,balanced_50,2,1,20,0.5,0.5,228,114,114,34,13,21,15,6,4,9,0.5,0.7058823529411765,0.6,0.6923076923076923,0.7142857142857143,0.7032967032967032,0.7894736842105263,15,0.4411764705882353,1.6666666666666667,0.6428571428571429,0.6716417910447762,0.6923076923076923,0.6683686401003888,0.2186774522861037,0.18960575584103082,balanced_50
context_size_balance_by_k,balanced_50,2,7,1,0.5,0.5,228,114,114,34,13,21,15,6,4,9,0.5,0.7058823529411765,0.6,0.6923076923076923,0.7142857142857143,0.7032967032967032,0.7894736842105263,15,0.4411764705882353,1.6666666666666667,0.6428571428571429,0.6716417910447762,0.6868131868131868,0.6200099475109271,0.21901300836354026,0.19681527860024395,balanced_50
context_size_balance_by_k,balanced_50,2,7,20,0.5,0.5,228,114,114,34,13,21,15,6,4,9,0.5,0.7058823529411765,0.6,0.6923076923076923,0.7142857142857143,0.7032967032967032,0.7894736842105263,15,0.4411764705882353,1.6666666666666667,0.6428571428571429,0.6716417910447762,0.684981684981685,0.6166216691226485,0.21886881237317105,0.22928514287752264,balanced_50
context_size_balance_by_k,balanced_50,2,21,1,0.5,0.5,228,114,114,34,13,21,12,9,4,9,0.5,0.6176470588235294,0.5,0.6923076923076923,0.5714285714285714,0.6318681318681318,0.75,18,0.5294117647058824,2.0,0.5806451612903226,0.6428571428571429,0.7032967032967034,0.709192735847352,0.22222947787420905,0.17590194546124513,balanced_50
context_size_balance_by_k,balanced_50,2,21,20,0.5,0.5,228,114,114,34,13,21,15,6,4,9,0.5,0.7058823529411765,0.6,0.6923076923076923,0.7142857142857143,0.7032967032967032,0.7894736842105263,15,0.4411764705882353,1.6666666666666667,0.6428571428571429,0.6716417910447762,0.706959706959707,0.7025813309932416,0.21493835802496286,0.17715834037345998,balanced_50
context_size_balance_by_k,balanced_50,2,42,1,0.5,0.5,228,114,114,34,13,21,15,6,4,9,0.5,0.7058823529411765,0.6,0.6923076923076923,0.7142857142857143,0.7032967032967032,0.7894736842105263,15,0.4411764705882353,1.6666666666666667,0.6428571428571429,0.6716417910447762,0.7032967032967034,0.6667053466505408,0.2206963320827093,0.18287116946542967,balanced_50
context_size_balance_by_k,balanced_50,2,42,20,0.5,0.5,228,114,114,34,13,21,15,6,4,9,0.5,0.7058823529411765,0.6,0.6923076923076923,0.7142857142857143,0.7032967032967032,0.7894736842105263,15,0.4411764705882353,1.6666666666666667,0.6428571428571429,0.6716417910447762,0.684981684981685,0.64326742552549,0.2180003380422331,0.2280545598443817,balanced_50
